 	Label	Area	X	Y	Division
1	Pos001CFP-2.tif:0001-0259-0164:1	514	164.875	259.591	0
2	Pos001CFP-2.tif:0002-0262-0181:2	335	180.867	262.399	0
3	Pos001CFP-2.tif:0003-0257-0169:3	301	169.497	256.493	0
4	Pos001CFP-2.tif:0004-0253-0169:4	322	168.981	252.634	1
5	Pos001CFP-2.tif:0005-0256-0184:5	148	183.095	256.750	0
6	Pos001CFP-2.tif:0006-0253-0183:6	217	183.196	253.371	0
7	Pos001CFP-2.tif:0007-0250-0182:7	323	181.844	250.714	0
8	Pos001CFP-2.tif:0008-0252-0182:8	359	182.013	252.503	0
9	Pos001CFP-2.tif:0009-0253-0179:9	355	179.472	253.539	0
10	Pos001CFP-2.tif:0010-0252-0178:10	365	178.401	252.105	0
11	Pos001CFP-2.tif:0011-0247-0175:11	364	174.816	247.701	0
12	Pos001CFP-2.tif:0012-0248-0177:12	357	177.010	248.046	0
13	Pos001CFP-2.tif:0013-0250-0182:13	373	182.712	250.462	0
14	Pos001CFP-2.tif:0014-0252-0185:14	359	186.213	251.667	0
15	Pos001CFP-2.tif:0015-0260-0189:15	349	189.620	259.629	0
16	Pos001CFP-2.tif:0016-0275-0204:16	244	205.119	274.451	0
17	Pos001CFP-2.tif:0017-0280-0217:17	269	218.660	280.385	0
18	Pos001CFP-2.tif:0018-0283-0224:18	331	225.678	283.382	0
19	Pos001CFP-2.tif:0019-0289-0233:19	197	235.165	289.642	0
20	Pos001CFP-2.tif:0020-0307-0258:20	283	260.652	306.535	0
21	Pos001CFP-2.tif:0021-0336-0295:21	327	296.341	336.702	0
22	Pos001CFP-2.tif:0022-0344-0308:22	245	306.806	346.280	0
23	Pos001CFP-2.tif:0023-0347-0314:23	316	313.585	350.684	0
24	Pos001CFP-2.tif:0024-0388-0338:24	215	337.830	388.728	0
25	Pos001CFP-2.tif:0025-0394-0344:25	226	344.323	393.982	0
26	Pos001CFP-2.tif:0026-0405-0347:26	282	346.887	404.741	0
27	Pos001CFP-2.tif:0027-0409-0349:27	279	348.937	409.256	0
28	Pos001CFP-2.tif:0028-0417-0351:28	290	351.234	416.459	0
29	Pos001CFP-2.tif:0029-0421-0354:29	268	354.668	421.791	0
30	Pos001CFP-2.tif:0030-0426-0356:30	279	356.400	426.848	0
31	Pos001CFP-2.tif:0031-0459-0354:31	254	353.736	458.638	0
32	Pos001CFP-2.tif:0032-0464-0352:32	307	351.650	464.321	0
33	Pos001CFP-2.tif:0033-0465-0356:33	293	356.459	464.186	0
34	Pos001CFP-2.tif:0034-0468-0373:34	278	372.719	468.432	0
35	Pos001CFP-2.tif:0035-0472-0378:35	260	378.450	471.269	0
36	Pos001CFP-2.tif:0036-0490-0382:36	278	383.784	489.536	0
37	Pos001CFP-2.tif:0037-0513-0387:37	297	388.133	513.924	0
38	Pos001CFP-2.tif:0038-0515-0384:38	322	385.208	515.183	0
39	Pos001CFP-2.tif:0039-0514-0386:39	315	386.510	514.875	0
40	Pos001CFP-2.tif:0040-0517-0387:40	323	388.339	517.906	0
41	Pos001CFP-2.tif:0041-0516-0392:41	293	392.514	516.814	0
42	Pos001CFP-2.tif:0042-0517-0398:42	290	397.924	517.486	0
43	Pos001CFP-2.tif:0043-0519-0401:43	325	401.226	519.460	0
44	Pos001CFP-2.tif:0044-0525-0407:44	273	407.738	524.786	0
45	Pos001CFP-2.tif:0045-0527-0414:45	341	414.195	527.013	0
46	Pos001CFP-2.tif:0046-0529-0412:46	331	412.231	529.618	0
47	Pos001CFP-2.tif:0047-0530-0410:47	321	410.201	531.288	0
48	Pos001CFP-2.tif:0048-0530-0405:48	325	405.112	530.768	0
49	Pos001CFP-2.tif:0049-0530-0402:49	340	401.809	530.641	0
50	Pos001CFP-2.tif:0050-0532-0398:50	334	397.548	531.985	0
51	Pos001CFP-2.tif:0051-0538-0397:51	352	397.872	538.386	0
52	Pos001CFP-2.tif:0052-0545-0411:52	332	411.154	544.458	0
53	Pos001CFP-2.tif:0053-0548-0424:53	319	423.685	548.039	0
54	Pos001CFP-2.tif:0054-0554-0432:54	321	432.157	554.104	0
55	Pos001CFP-2.tif:0055-0556-0429:55	322	429.320	556.606	0
56	Pos001CFP-2.tif:0056-0563-0433:56	297	433.456	563.409	0
57	Pos001CFP-2.tif:0057-0576-0437:57	318	437.135	576.560	0
58	Pos001CFP-2.tif:0058-0587-0444:58	304	444.296	586.878	0
59	Pos001CFP-2.tif:0059-0591-0442:59	299	442.704	591.042	0
60	Pos001CFP-2.tif:0060-0589-0441:60	301	441.131	589.261	0
61	Pos001CFP-2.tif:0061-0590-0438:61	286	438.444	589.976	0
62	Pos001CFP-2.tif:0062-0587-0434:62	305	433.779	587.805	0
63	Pos001CFP-2.tif:0063-0594-0435:63	295	434.564	594.958	0
64	Pos001CFP-2.tif:0064-0598-0434:64	310	434.294	599.184	0
65	Pos001CFP-2.tif:0065-0624-0444:65	280	444.304	623.707	0
66	Pos001CFP-2.tif:0066-0641-0452:66	293	452.667	641.712	0
67	Pos001CFP-2.tif:0067-0647-0455:67	304	454.924	647.918	0
68	Pos001CFP-2.tif:0068-0650-0457:68	295	457.527	650.019	0
69	Pos001CFP-2.tif:0069-0647-0454:69	308	453.718	647.153	0
70	Pos001CFP-2.tif:0070-0631-0441:70	289	440.801	631.469	0
71	Pos001CFP-2.tif:0071-0621-0436:71	282	435.702	620.702	0
72	Pos001CFP-2.tif:0072-0621-0434:72	303	433.982	621.203	0
73	Pos001CFP-2.tif:0073-0617-0437:73	302	437.228	617.543	0
