 	Label	Area	X	Y	Division
1	Pos002CFP-2.tif:0001-0489-0486:1	353	485.738	489.418	0
2	Pos002CFP-2.tif:0002-0482-0497:2	320	498.028	481.709	0
3	Pos002CFP-2.tif:0003-0485-0501:3	325	501.472	484.540	0
4	Pos002CFP-2.tif:0004-0486-0501:4	342	501.678	486.026	0
5	Pos002CFP-2.tif:0005-0491-0502:5	364	501.788	491.390	1
6	Pos002CFP-2.tif:0006-0482-0494:6	170	494.288	482.241	0
7	Pos002CFP-2.tif:0007-0487-0498:7	245	498.524	486.594	0
8	Pos002CFP-2.tif:0008-0489-0492:8	302	493.238	489.288	0
9	Pos002CFP-2.tif:0009-0492-0487:9	299	487.470	491.196	0
10	Pos002CFP-2.tif:0010-0488-0485:10	298	485.584	488.010	0
11	Pos002CFP-2.tif:0011-0487-0483:11	298	483.832	486.725	0
12	Pos002CFP-2.tif:0012-0484-0476:12	278	478.194	483.320	0
13	Pos002CFP-2.tif:0013-0479-0474:13	292	475.695	478.805	0
14	Pos002CFP-2.tif:0014-0475-0473:14	312	474.635	475.452	0
15	Pos002CFP-2.tif:0015-0471-0474:15	298	475.772	470.876	0
16	Pos002CFP-2.tif:0016-0462-0471:16	276	471.616	462.764	0
17	Pos002CFP-2.tif:0017-0460-0467:17	283	468.104	460.592	0
18	Pos002CFP-2.tif:0018-0458-0465:18	296	465.733	458.334	0
19	Pos002CFP-2.tif:0019-0457-0465:19	303	466.695	457.493	0
20	Pos002CFP-2.tif:0020-0455-0465:20	304	465.865	455.368	0
21	Pos002CFP-2.tif:0021-0451-0462:21	308	463.581	451.315	0
22	Pos002CFP-2.tif:0022-0452-0463:22	314	463.561	451.914	0
23	Pos002CFP-2.tif:0023-0454-0460:23	293	460.483	454.947	0
24	Pos002CFP-2.tif:0024-0465-0455:24	266	454.218	465.932	0
25	Pos002CFP-2.tif:0025-0467-0457:25	256	457.219	468.227	0
26	Pos002CFP-2.tif:0026-0470-0456:26	241	456.172	470.811	0
27	Pos002CFP-2.tif:0027-0477-0458:27	245	457.798	476.080	0
28	Pos002CFP-2.tif:0028-0474-0456:28	262	456.332	473.531	0
29	Pos002CFP-2.tif:0029-0473-0463:29	244	462.488	472.840	0
30	Pos002CFP-2.tif:0030-0467-0454:30	271	454.330	466.744	0
31	Pos002CFP-2.tif:0031-0470-0452:31	255	451.998	469.849	0
32	Pos002CFP-2.tif:0032-0466-0447:32	230	447.026	466.113	0
33	Pos002CFP-2.tif:0033-0468-0443:33	250	443.444	467.704	0
34	Pos002CFP-2.tif:0034-0465-0441:34	253	440.737	465.595	0
35	Pos002CFP-2.tif:0035-0465-0427:35	295	427.364	464.669	0
36	Pos002CFP-2.tif:0036-0471-0448:36	266	448.368	472.056	0
37	Pos002CFP-2.tif:0037-0467-0437:37	279	436.435	466.740	0
38	Pos002CFP-2.tif:0038-0462-0438:38	280	437.646	462.889	0
39	Pos002CFP-2.tif:0039-0466-0426:39	268	426.896	466.683	0
40	Pos002CFP-2.tif:0040-0466-0426:40	252	426.698	466.683	0
41	Pos002CFP-2.tif:0041-0467-0440:41	267	441.174	467.616	0
42	Pos002CFP-2.tif:0042-0466-0441:42	282	442.050	466.025	0
43	Pos002CFP-2.tif:0043-0464-0448:43	301	449.686	463.563	0
44	Pos002CFP-2.tif:0044-0456-0451:44	294	452.184	456.633	0
45	Pos002CFP-2.tif:0045-0449-0458:45	276	459.449	449.025	0
46	Pos002CFP-2.tif:0046-0435-0449:46	274	450.117	435.080	0
47	Pos002CFP-2.tif:0047-0441-0445:47	271	445.493	440.552	0
48	Pos002CFP-2.tif:0048-0440-0443:48	269	443.281	440.273	0
49	Pos002CFP-2.tif:0049-0450-0443:49	290	444.390	450.114	0
50	Pos002CFP-2.tif:0050-0465-0444:50	283	445.839	464.988	0
51	Pos002CFP-2.tif:0051-0475-0455:51	247	456.690	475.022	0
52	Pos002CFP-2.tif:0052-0491-0469:52	272	470.713	491.232	0
53	Pos002CFP-2.tif:0053-0508-0479:53	259	480.485	507.469	0
54	Pos002CFP-2.tif:0054-0511-0488:54	257	489.107	510.990	0
55	Pos002CFP-2.tif:0055-0526-0503:55	236	503.742	526.169	0
56	Pos002CFP-2.tif:0056-0535-0516:56	234	516.128	535.167	0
57	Pos002CFP-2.tif:0057-0509-0526:57	191	526.024	509.123	0
58	Pos002CFP-2.tif:0058-0487-0523:58	189	522.680	487.664	0
59	Pos002CFP-2.tif:0059-0474-0524:59	235	524.670	474.717	0
60	Pos002CFP-2.tif:0060-0463-0528:60	264	527.864	463.420	0
61	Pos002CFP-2.tif:0061-0453-0526:61	275	526.453	454.035	0
62	Pos002CFP-2.tif:0062-0423-0537:62	219	537.062	423.879	0
63	Pos002CFP-2.tif:0063-0409-0544:63	203	543.323	409.628	0
64	Pos002CFP-2.tif:0064-0390-0544:64	196	544.209	390.571	0
65	Pos002CFP-2.tif:0065-0386-0550:65	221	550.577	386.441	0
66	Pos002CFP-2.tif:0066-0392-0561:66	233	562.569	391.848	0
67	Pos002CFP-2.tif:0067-0399-0575:67	238	576.189	398.433	0
68	Pos002CFP-2.tif:0068-0406-0585:68	230	585.739	405.661	0
69	Pos002CFP-2.tif:0069-0422-0592:69	220	592.873	420.950	0
70	Pos002CFP-2.tif:0070-0430-0604:70	213	604.345	429.744	0
71	Pos002CFP-2.tif:0071-0436-0612:71	222	611.932	436.054	0
72	Pos002CFP-2.tif:0072-0445-0611:72	240	610.167	445.208	0
73	Pos002CFP-2.tif:0073-0453-0602:73	243	601.969	453.636	0
