 	Label	Area	X	Y	Division
1	Pos002CFP-2.tif:0004-0888-0135:4	513	135.539	887.494	1
2	Pos002CFP-2.tif:0005-0885-0132:5	217	132.495	885.177	0
3	Pos002CFP-2.tif:0006-0883-0142:6	223	142.908	883.406	0
4	Pos002CFP-2.tif:0007-0879-0141:7	254	142.394	879.024	0
5	Pos002CFP-2.tif:0008-0879-0141:8	243	142.171	878.928	0
6	Pos002CFP-2.tif:0009-0881-0140:9	297	139.382	882.315	0
7	Pos002CFP-2.tif:0010-0881-0143:10	306	141.719	881.320	0
8	Pos002CFP-2.tif:0011-0881-0145:11	313	143.516	880.676	0
9	Pos002CFP-2.tif:0012-0877-0146:12	324	144.633	876.494	0
10	Pos002CFP-2.tif:0013-0875-0144:13	399	142.370	874.400	0
11	Pos002CFP-2.tif:0014-0874-0143:14	405	141.693	873.386	0
12	Pos002CFP-2.tif:0015-0876-0143:15	396	142.937	874.543	0
13	Pos002CFP-2.tif:0016-0876-0141:16	376	140.793	875.545	0
14	Pos002CFP-2.tif:0017-0877-0131:17	359	130.394	876.500	0
15	Pos002CFP-2.tif:0018-0877-0130:18	359	129.851	876.533	0
16	Pos002CFP-2.tif:0019-0882-0131:19	361	130.614	881.680	0
17	Pos002CFP-2.tif:0020-0888-0134:20	340	133.924	887.600	0
18	Pos002CFP-2.tif:0021-0892-0134:21	316	134.487	891.750	0
19	Pos002CFP-2.tif:0022-0876-0149:22	316	148.712	875.810	0
20	Pos002CFP-2.tif:0023-0865-0159:23	303	158.223	865.794	0
21	Pos002CFP-2.tif:0024-0866-0175:24	291	175.486	865.820	0
22	Pos002CFP-2.tif:0025-0868-0180:25	300	180.470	867.823	0
23	Pos002CFP-2.tif:0026-0866-0175:26	339	175.904	865.046	0
24	Pos002CFP-2.tif:0027-0867-0186:27	341	186.606	867.087	0
25	Pos002CFP-2.tif:0028-0870-0188:28	279	187.848	870.095	0
26	Pos002CFP-2.tif:0029-0873-0186:29	337	186.990	872.568	0
27	Pos002CFP-2.tif:0030-0875-0194:30	301	194.603	874.513	0
28	Pos002CFP-2.tif:0031-0880-0204:31	294	205.058	880.065	0
29	Pos002CFP-2.tif:0032-0887-0211:32	297	212.045	887.547	0
30	Pos002CFP-2.tif:0033-0899-0257:33	288	258.944	897.823	0
31	Pos002CFP-2.tif:0034-0914-0272:34	417	272.421	914.615	0
32	Pos002CFP-2.tif:0035-0919-0279:35	202	278.218	917.545	0
33	Pos002CFP-2.tif:0036-0926-0282:36	276	282.438	924.946	0
34	Pos002CFP-2.tif:0037-0950-0311:37	238	311.685	949.845	0
35	Pos002CFP-2.tif:0038-0947-0316:38	271	315.777	946.611	0
36	Pos002CFP-2.tif:0039-0948-0314:39	277	314.374	947.182	0
37	Pos002CFP-2.tif:0040-0947-0317:40	290	317.859	946.341	0
38	Pos002CFP-2.tif:0041-0947-0317:41	304	317.546	947.115	0
39	Pos002CFP-2.tif:0042-0947-0320:42	300	320.803	946.790	0
40	Pos002CFP-2.tif:0043-0945-0322:43	302	322.195	944.987	0
41	Pos002CFP-2.tif:0044-0939-0319:44	259	319.820	939.322	0
42	Pos002CFP-2.tif:0045-0935-0317:45	255	316.825	935.731	0
43	Pos002CFP-2.tif:0046-0908-0340:46	253	340.061	908.219	0
44	Pos002CFP-2.tif:0047-0904-0345:47	227	345.566	904.597	0
45	Pos002CFP-2.tif:0048-0902-0352:48	245	352.712	902.267	0
46	Pos002CFP-2.tif:0049-0900-0356:49	249	356.781	900.910	0
47	Pos002CFP-2.tif:0050-0904-0358:50	245	358.724	903.994	0
48	Pos002CFP-2.tif:0051-0904-0361:51	256	362.090	904.297	0
49	Pos002CFP-2.tif:0052-0904-0365:52	259	365.577	904.840	0
50	Pos002CFP-2.tif:0053-0906-0359:53	260	359.608	906.938	0
51	Pos002CFP-2.tif:0054-0910-0350:54	258	350.481	910.802	0
52	Pos002CFP-2.tif:0055-0913-0344:55	264	344.386	913.644	0
53	Pos002CFP-2.tif:0056-0922-0335:56	268	334.698	922.078	0
54	Pos002CFP-2.tif:0057-0923-0329:57	277	328.590	923.453	0
55	Pos002CFP-2.tif:0058-0925-0324:58	278	324.165	924.867	0
56	Pos002CFP-2.tif:0059-0919-0330:59	280	330.329	918.821	0
57	Pos002CFP-2.tif:0060-0905-0351:60	285	351.047	904.763	0
58	Pos002CFP-2.tif:0061-0908-0350:61	306	350.105	908.320	0
59	Pos002CFP-2.tif:0062-0916-0345:62	296	345.432	915.838	0
60	Pos002CFP-2.tif:0063-0919-0343:63	301	343.281	919.723	0
61	Pos002CFP-2.tif:0064-0924-0340:64	297	339.793	923.833	0
62	Pos002CFP-2.tif:0065-0922-0343:65	295	343.059	922.375	0
63	Pos002CFP-2.tif:0066-0917-0351:66	288	350.514	916.424	0
64	Pos002CFP-2.tif:0067-0917-0350:67	296	350.152	917.176	0
65	Pos002CFP-2.tif:0068-0929-0337:68	280	336.382	929.254	0
66	Pos002CFP-2.tif:0069-0936-0332:69	282	331.794	936.053	0
67	Pos002CFP-2.tif:0070-0940-0332:70	282	331.099	940.028	0
68	Pos002CFP-2.tif:0071-0945-0325:71	276	325.217	944.496	0
69	Pos002CFP-2.tif:0072-0948-0325:72	301	324.317	947.889	0
70	Pos002CFP-2.tif:0073-0954-0323:73	301	323.045	954.075	0
