 	Label	Area	X	Y	Division
1	Pos002CFP-2.tif:0001-0170-0343:1	414	343.498	169.831	0
2	Pos002CFP-2.tif:0002-0150-0311:2	308	311.052	150.510	0
3	Pos002CFP-2.tif:0003-0133-0264:3	339	264.385	132.889	0
4	Pos002CFP-2.tif:0004-0102-0194:4	361	194.597	102.209	0
5	Pos002CFP-2.tif:0005-0099-0171:5	411	170.987	99.841	1
6	Pos002CFP-2.tif:0006-0107-0159:6	232	159.612	107.228	0
7	Pos002CFP-2.tif:0007-0107-0161:7	202	160.495	106.871	0
8	Pos002CFP-2.tif:0008-0098-0170:8	295	168.697	98.222	0
9	Pos002CFP-2.tif:0009-0101-0178:9	238	178.903	101.954	0
10	Pos002CFP-2.tif:0010-0106-0189:10	323	188.964	105.615	0
11	Pos002CFP-2.tif:0011-0116-0202:11	350	202.323	116.471	0
12	Pos002CFP-2.tif:0012-0119-0203:12	351	203.984	119.896	0
13	Pos002CFP-2.tif:0013-0123-0206:13	364	207.014	123.390	0
14	Pos002CFP-2.tif:0014-0125-0204:14	373	204.476	125.178	0
15	Pos002CFP-2.tif:0015-0127-0209:15	356	208.795	127.118	0
16	Pos002CFP-2.tif:0016-0129-0221:16	336	220.943	129.798	0
17	Pos002CFP-2.tif:0017-0132-0234:17	335	234.390	132.315	0
18	Pos002CFP-2.tif:0018-0137-0250:18	233	251.873	136.929	0
19	Pos002CFP-2.tif:0019-0145-0272:19	226	273.345	145.637	0
20	Pos002CFP-2.tif:0020-0159-0297:20	222	298.667	159.725	0
21	Pos002CFP-2.tif:0021-0164-0308:21	219	308.089	163.737	0
22	Pos002CFP-2.tif:0022-0175-0318:22	266	318.511	174.680	0
23	Pos002CFP-2.tif:0023-0192-0334:23	344	333.980	193.090	0
24	Pos002CFP-2.tif:0024-0190-0332:24	360	331.894	190.783	0
25	Pos002CFP-2.tif:0025-0186-0325:25	344	324.802	186.073	0
26	Pos002CFP-2.tif:0026-0186-0321:26	334	321.159	186.171	0
27	Pos002CFP-2.tif:0027-0186-0319:27	333	319.527	186.650	0
28	Pos002CFP-2.tif:0028-0225-0338:28	215	337.793	225.598	0
29	Pos002CFP-2.tif:0029-0228-0342:29	216	341.579	227.583	0
30	Pos002CFP-2.tif:0030-0230-0350:30	189	349.839	229.415	0
31	Pos002CFP-2.tif:0031-0234-0357:31	249	356.315	233.440	0
32	Pos002CFP-2.tif:0032-0246-0367:32	250	367.240	245.628	0
33	Pos002CFP-2.tif:0033-0252-0375:33	276	375.594	252.667	0
34	Pos002CFP-2.tif:0034-0264-0384:34	286	384.238	264.171	0
35	Pos002CFP-2.tif:0035-0276-0392:35	281	391.941	276.407	0
36	Pos002CFP-2.tif:0036-0289-0402:36	296	401.378	289.767	0
37	Pos002CFP-2.tif:0037-0294-0408:37	302	408.159	294.523	0
38	Pos002CFP-2.tif:0038-0290-0412:38	310	412.413	290.323	0
39	Pos002CFP-2.tif:0039-0285-0417:39	316	417.266	285.383	0
40	Pos002CFP-2.tif:0040-0281-0421:40	274	422.274	281.281	0
41	Pos002CFP-2.tif:0041-0278-0424:41	273	423.661	278.317	0
42	Pos002CFP-2.tif:0042-0271-0427:42	298	427.097	270.500	0
43	Pos002CFP-2.tif:0043-0263-0430:43	302	429.887	262.662	0
44	Pos002CFP-2.tif:0044-0247-0434:44	284	435.070	246.972	0
45	Pos002CFP-2.tif:0045-0237-0439:45	283	439.853	236.825	0
46	Pos002CFP-2.tif:0046-0228-0443:46	295	443.134	227.995	0
47	Pos002CFP-2.tif:0047-0221-0440:47	306	440.180	220.997	0
48	Pos002CFP-2.tif:0048-0218-0435:48	305	436.107	218.592	0
49	Pos002CFP-2.tif:0049-0212-0434:49	304	434.178	212.671	0
50	Pos002CFP-2.tif:0050-0209-0435:50	295	435.558	208.951	0
51	Pos002CFP-2.tif:0051-0200-0435:51	300	434.470	200.137	0
52	Pos002CFP-2.tif:0052-0192-0431:52	286	431.591	193.059	0
53	Pos002CFP-2.tif:0053-0186-0427:53	285	427.567	186.914	0
54	Pos002CFP-2.tif:0054-0185-0424:54	305	424.323	186.041	0
55	Pos002CFP-2.tif:0055-0184-0424:55	283	424.041	183.698	0
56	Pos002CFP-2.tif:0056-0180-0422:56	258	421.721	180.605	0
57	Pos002CFP-2.tif:0057-0181-0421:57	295	420.520	181.866	0
58	Pos002CFP-2.tif:0058-0180-0418:58	291	418.170	180.390	0
59	Pos002CFP-2.tif:0059-0181-0416:59	296	416.372	181.787	0
60	Pos002CFP-2.tif:0060-0182-0414:60	295	413.551	182.453	0
61	Pos002CFP-2.tif:0061-0182-0411:61	285	410.781	182.935	0
62	Pos002CFP-2.tif:0062-0183-0407:62	285	407.282	184.051	0
63	Pos002CFP-2.tif:0063-0185-0407:63	285	406.802	185.889	0
64	Pos002CFP-2.tif:0064-0185-0407:64	286	406.437	185.122	0
65	Pos002CFP-2.tif:0065-0191-0411:65	285	410.223	192.289	0
66	Pos002CFP-2.tif:0066-0197-0413:66	289	412.964	198.106	0
67	Pos002CFP-2.tif:0067-0200-0413:67	287	413.322	200.664	0
68	Pos002CFP-2.tif:0068-0199-0413:68	274	412.609	199.745	0
69	Pos002CFP-2.tif:0069-0182-0392:69	218	391.950	181.885	0
70	Pos002CFP-2.tif:0070-0187-0395:70	273	394.958	188.233	0
71	Pos002CFP-2.tif:0071-0187-0394:71	279	393.382	187.238	0
72	Pos002CFP-2.tif:0072-0187-0393:72	281	392.468	188.037	0
73	Pos002CFP-2.tif:0073-0185-0390:73	279	390.081	185.575	0
