 	Label	Area	X	Y	Division
1	Pos001CFP-2.tif:0003-0478-0322:3	415	322.734	478.416	1
2	Pos001CFP-2.tif:0004-0480-0310:4	206	310.058	480.160	0
3	Pos001CFP-2.tif:0005-0478-0310:5	201	310.216	477.619	0
4	Pos001CFP-2.tif:0006-0478-0315:6	257	314.212	479.267	0
5	Pos001CFP-2.tif:0007-0480-0325:7	360	325.569	478.633	0
6	Pos001CFP-2.tif:0008-0480-0331:8	385	331.069	479.103	0
7	Pos001CFP-2.tif:0009-0489-0335:9	393	335.174	488.996	0
8	Pos001CFP-2.tif:0010-0498-0339:10	392	339.390	497.543	0
9	Pos001CFP-2.tif:0011-0508-0365:11	393	366.182	508.556	0
10	Pos001CFP-2.tif:0012-0511-0385:12	364	385.964	509.945	0
11	Pos001CFP-2.tif:0013-0511-0388:13	270	387.400	510.281	0
12	Pos001CFP-2.tif:0014-0512-0385:14	247	386.719	510.423	0
13	Pos001CFP-2.tif:0015-0512-0387:15	387	387.500	510.851	0
14	Pos001CFP-2.tif:0016-0519-0385:16	383	385.114	517.683	0
15	Pos001CFP-2.tif:0017-0544-0373:17	357	374.270	545.108	0
16	Pos001CFP-2.tif:0018-0562-0385:18	267	385.279	562.429	0
17	Pos001CFP-2.tif:0019-0580-0402:19	368	402.446	579.929	0
18	Pos001CFP-2.tif:0020-0604-0426:20	346	426.997	603.913	0
19	Pos001CFP-2.tif:0021-0617-0435:21	292	435.253	615.966	0
20	Pos001CFP-2.tif:0022-0631-0445:22	245	445.594	630.643	0
21	Pos001CFP-2.tif:0023-0654-0457:23	230	458.287	653.578	0
22	Pos001CFP-2.tif:0024-0682-0468:24	363	468.500	681.737	0
23	Pos001CFP-2.tif:0025-0700-0472:25	178	470.949	700.157	0
24	Pos001CFP-2.tif:0026-0722-0474:26	206	474.427	721.621	0
25	Pos001CFP-2.tif:0027-0738-0466:27	227	466.923	738.967	0
26	Pos001CFP-2.tif:0028-0746-0452:28	303	452.800	746.276	0
27	Pos001CFP-2.tif:0029-0757-0436:29	246	436.167	758.553	0
28	Pos001CFP-2.tif:0030-0756-0424:30	183	424.713	758.309	0
29	Pos001CFP-2.tif:0031-0744-0406:31	202	405.619	744.366	0
30	Pos001CFP-2.tif:0032-0730-0392:32	200	392.215	729.900	0
31	Pos001CFP-2.tif:0033-0721-0371:33	106	371.340	721.708	0
32	Pos001CFP-2.tif:0034-0728-0365:34	289	366.029	728.839	0
33	Pos001CFP-2.tif:0035-0736-0363:35	308	364.071	736.260	0
34	Pos001CFP-2.tif:0036-0750-0363:36	297	363.008	750.534	0
35	Pos001CFP-2.tif:0037-0760-0358:37	188	357.926	761.452	0
36	Pos001CFP-2.tif:0038-0777-0342:38	226	341.447	777.354	0
37	Pos001CFP-2.tif:0039-0781-0328:39	298	327.446	781.668	0
38	Pos001CFP-2.tif:0040-0781-0307:40	292	307.048	782.034	0
39	Pos001CFP-2.tif:0041-0769-0286:41	271	286.670	769.124	0
40	Pos001CFP-2.tif:0042-0742-0259:42	327	257.610	743.265	0
41	Pos001CFP-2.tif:0043-0728-0249:43	292	247.527	728.842	0
42	Pos001CFP-2.tif:0044-0721-0237:44	296	236.257	721.598	0
43	Pos001CFP-2.tif:0045-0719-0230:45	301	229.277	720.154	0
44	Pos001CFP-2.tif:0046-0709-0219:46	258	219.403	709.624	0
45	Pos001CFP-2.tif:0047-0703-0215:47	294	214.663	704.320	0
46	Pos001CFP-2.tif:0048-0701-0208:48	280	207.432	701.704	0
47	Pos001CFP-2.tif:0049-0696-0203:49	282	202.078	696.801	0
48	Pos001CFP-2.tif:0050-0696-0199:50	297	199.268	695.884	0
49	Pos001CFP-2.tif:0051-0695-0192:51	288	192.483	694.552	0
50	Pos001CFP-2.tif:0052-0690-0178:52	279	178.633	690.048	0
51	Pos001CFP-2.tif:0053-0681-0155:53	270	155.526	680.370	0
52	Pos001CFP-2.tif:0054-0674-0134:54	262	135.435	673.412	0
53	Pos001CFP-2.tif:0055-0672-0132:55	307	131.735	672.125	0
54	Pos001CFP-2.tif:0056-0677-0128:56	309	126.393	677.574	0
55	Pos001CFP-2.tif:0057-0678-0118:57	275	117.780	678.973	0
56	Pos001CFP-2.tif:0058-0681-0103:58	282	104.401	682.004	0
57	Pos001CFP-2.tif:0059-0681-0101:59	304	101.592	681.707	0
58	Pos001CFP-2.tif:0060-0679-0098:60	316	98.905	679.266	0
59	Pos001CFP-2.tif:0061-0675-0093:61	305	94.126	675.703	0
60	Pos001CFP-2.tif:0062-0672-0096:62	306	97.127	672.565	0
61	Pos001CFP-2.tif:0063-0671-0098:63	313	98.145	670.181	0
62	Pos001CFP-2.tif:0064-0667-0098:64	310	98.000	667.119	0
63	Pos001CFP-2.tif:0065-0665-0099:65	302	99.275	665.245	0
64	Pos001CFP-2.tif:0066-0664-0105:66	297	104.335	664.577	0
65	Pos001CFP-2.tif:0067-0675-0118:67	278	117.953	675.734	0
66	Pos001CFP-2.tif:0068-0677-0122:68	285	122.118	677.833	0
67	Pos001CFP-2.tif:0069-0683-0136:69	277	136.045	682.825	0
68	Pos001CFP-2.tif:0070-0688-0150:70	264	150.398	687.807	0
69	Pos001CFP-2.tif:0071-0690-0164:71	267	163.466	690.084	0
70	Pos001CFP-2.tif:0072-0692-0169:72	270	169.226	692.004	0
71	Pos001CFP-2.tif:0073-0694-0181:73	272	180.136	695.125	0
