 	Label	Area	X	Y	Division
1	Pos001CFP-2.tif:0001-0599-0885:1	596	885.633	599.252	0
2	Pos001CFP-2.tif:0002-0589-0902:2	365	901.703	588.779	0
3	Pos001CFP-2.tif:0003-0497-0903:3	369	902.999	496.947	1
4	Pos001CFP-2.tif:0004-0493-0912:4	199	912.781	493.691	0
5	Pos001CFP-2.tif:0005-0490-0908:5	178	908.022	490.787	0
6	Pos001CFP-2.tif:0006-0492-0911:6	213	911.143	491.923	0
7	Pos001CFP-2.tif:0007-0492-0913:7	209	912.768	492.452	0
8	Pos001CFP-2.tif:0008-0493-0918:8	209	916.529	493.825	0
9	Pos001CFP-2.tif:0009-0496-0919:9	210	918.538	496.067	0
10	Pos001CFP-2.tif:0010-0496-0921:10	217	919.970	496.726	0
11	Pos001CFP-2.tif:0011-0496-0920:11	217	918.970	495.929	0
12	Pos001CFP-2.tif:0012-0497-0919:12	229	918.941	497.207	0
13	Pos001CFP-2.tif:0013-0499-0922:13	219	921.660	499.537	0
14	Pos001CFP-2.tif:0014-0499-0926:14	280	925.293	500.129	0
15	Pos001CFP-2.tif:0015-0497-0928:15	277	927.590	497.301	0
16	Pos001CFP-2.tif:0016-0494-0930:16	207	929.031	495.447	0
17	Pos001CFP-2.tif:0017-0495-0933:17	266	933.000	495.568	0
18	Pos001CFP-2.tif:0018-0494-0933:18	267	933.051	494.391	0
19	Pos001CFP-2.tif:0019-0494-0930:19	283	929.443	494.959	0
20	Pos001CFP-2.tif:0020-0495-0927:20	285	926.304	495.637	0
21	Pos001CFP-2.tif:0021-0499-0926:21	240	926.038	499.092	0
22	Pos001CFP-2.tif:0022-0502-0917:22	214	917.234	502.650	0
23	Pos001CFP-2.tif:0023-0501-0921:23	205	921.724	500.471	0
24	Pos001CFP-2.tif:0024-0497-0929:24	285	929.605	496.774	0
25	Pos001CFP-2.tif:0025-0499-0931:25	219	931.098	498.016	0
26	Pos001CFP-2.tif:0026-0510-0930:26	293	930.019	510.097	0
27	Pos001CFP-2.tif:0027-0541-0920:27	288	920.569	540.747	0
28	Pos001CFP-2.tif:0028-0554-0911:28	222	910.991	554.293	0
29	Pos001CFP-2.tif:0029-0588-0876:29	228	876.241	588.417	0
30	Pos001CFP-2.tif:0030-0594-0862:30	260	862.446	594.204	0
31	Pos001CFP-2.tif:0031-0597-0850:31	263	849.964	597.048	0
32	Pos001CFP-2.tif:0032-0605-0830:32	125	831.228	604.268	0
33	Pos001CFP-2.tif:0033-0613-0802:33	95	800.679	613.500	0
34	Pos001CFP-2.tif:0034-0617-0801:34	132	801.886	617.424	0
35	Pos001CFP-2.tif:0035-0602-0815:35	253	815.496	602.429	0
36	Pos001CFP-2.tif:0036-0602-0814:36	255	814.335	601.967	0
37	Pos001CFP-2.tif:0037-0595-0814:37	257	814.578	594.994	0
38	Pos001CFP-2.tif:0038-0589-0814:38	262	814.683	589.580	0
39	Pos001CFP-2.tif:0039-0592-0819:39	247	818.095	593.091	0
40	Pos001CFP-2.tif:0040-0597-0819:40	261	819.994	597.611	0
41	Pos001CFP-2.tif:0041-0600-0819:41	254	819.236	600.043	0
42	Pos001CFP-2.tif:0042-0605-0815:42	246	815.699	605.179	0
43	Pos001CFP-2.tif:0043-0611-0806:43	266	806.726	611.602	0
44	Pos001CFP-2.tif:0044-0614-0798:44	255	798.308	614.488	0
45	Pos001CFP-2.tif:0045-0613-0800:45	258	800.380	613.841	0
46	Pos001CFP-2.tif:0046-0610-0804:46	257	804.815	610.909	0
47	Pos001CFP-2.tif:0047-0607-0812:47	260	813.396	608.323	0
48	Pos001CFP-2.tif:0048-0603-0815:48	227	816.588	604.385	0
49	Pos001CFP-2.tif:0049-0597-0818:49	149	819.285	598.258	0
50	Pos001CFP-2.tif:0050-0590-0816:50	235	816.887	590.760	0
51	Pos001CFP-2.tif:0051-0586-0812:51	224	812.737	586.411	0
52	Pos001CFP-2.tif:0052-0584-0809:52	227	809.826	584.447	0
53	Pos001CFP-2.tif:0053-0587-0808:53	233	808.225	587.397	0
54	Pos001CFP-2.tif:0054-0605-0804:54	240	804.750	606.263	0
55	Pos001CFP-2.tif:0055-0613-0801:55	195	801.259	613.013	0
56	Pos001CFP-2.tif:0056-0615-0798:56	259	798.010	615.747	0
57	Pos001CFP-2.tif:0057-0618-0796:57	236	796.017	618.742	0
58	Pos001CFP-2.tif:0058-0622-0795:58	253	794.828	622.678	0
59	Pos001CFP-2.tif:0059-0639-0783:59	218	783.275	639.757	0
60	Pos001CFP-2.tif:0060-0640-0780:60	217	780.952	640.219	0
61	Pos001CFP-2.tif:0061-0639-0776:61	202	776.213	639.698	0
62	Pos001CFP-2.tif:0062-0642-0774:62	211	774.922	642.988	0
63	Pos001CFP-2.tif:0063-0644-0771:63	211	771.600	643.884	0
64	Pos001CFP-2.tif:0064-0648-0762:64	216	761.431	648.352	0
65	Pos001CFP-2.tif:0065-0652-0757:65	249	756.986	651.886	0
66	Pos001CFP-2.tif:0066-0655-0750:66	253	750.034	655.496	0
67	Pos001CFP-2.tif:0067-0652-0738:67	187	737.436	651.960	0
68	Pos001CFP-2.tif:0068-0652-0731:68	240	731.308	652.867	0
69	Pos001CFP-2.tif:0069-0658-0718:69	241	717.446	657.923	0
70	Pos001CFP-2.tif:0070-0661-0717:70	244	716.320	660.656	0
71	Pos001CFP-2.tif:0071-0667-0693:71	231	693.331	666.327	0
72	Pos001CFP-2.tif:0072-0671-0674:72	229	674.723	671.657	0
73	Pos001CFP-2.tif:0073-0669-0669:73	231	669.587	668.929	0
