 	Label	Area	X	Y	Division
1	Pos001CFP-2.tif:0001-0117-0543:1	464	542.998	116.834	0
2	Pos001CFP-2.tif:0002-0109-0555:2	418	555.033	109.486	0
3	Pos001CFP-2.tif:0003-0111-0556:3	399	556.435	111.239	1
4	Pos001CFP-2.tif:0004-0104-0563:4	242	563.231	104.707	0
5	Pos001CFP-2.tif:0005-0094-0579:5	273	578.925	94.049	0
6	Pos001CFP-2.tif:0006-0096-0575:6	210	575.752	96.829	0
7	Pos001CFP-2.tif:0007-0092-0583:7	265	582.938	91.757	0
8	Pos001CFP-2.tif:0008-0086-0589:8	330	588.597	86.733	0
9	Pos001CFP-2.tif:0009-0080-0595:9	340	594.788	81.153	0
10	Pos001CFP-2.tif:0010-0067-0599:10	364	598.426	67.610	0
11	Pos001CFP-2.tif:0011-0052-0606:11	389	605.503	52.860	0
12	Pos001CFP-2.tif:0012-0045-0610:12	398	609.357	45.234	0
13	Pos001CFP-2.tif:0013-0036-0613:13	387	613.167	35.658	0
14	Pos001CFP-2.tif:0014-0014-0614:14	334	614.201	14.365	0
15	Pos001CFP-2.tif:0015-0014-0611:15	319	611.845	14.215	0
