 	Label	Area	X	Y	Division
1	Pos002CFP-2.tif:0001-0519-0602:1	583	601.677	519.371	0
2	Pos002CFP-2.tif:0002-0510-0610:2	536	609.950	508.687	0
3	Pos002CFP-2.tif:0003-0506-0608:3	521	608.700	505.928	0
4	Pos002CFP-2.tif:0004-0501-0607:4	567	607.655	500.966	0
5	Pos002CFP-2.tif:0005-0469-0599:5	588	598.947	469.036	0
6	Pos002CFP-2.tif:0006-0423-0588:6	626	587.839	422.481	1
7	Pos002CFP-2.tif:0007-0436-0581:7	166	581.627	436.536	0
8	Pos002CFP-2.tif:0008-0432-0579:8	205	578.495	432.363	0
9	Pos002CFP-2.tif:0009-0430-0578:9	290	578.576	429.186	0
10	Pos002CFP-2.tif:0010-0425-0576:10	286	576.112	424.857	0
11	Pos002CFP-2.tif:0011-0428-0575:11	309	575.261	427.147	0
12	Pos002CFP-2.tif:0012-0433-0579:12	330	579.370	432.961	0
13	Pos002CFP-2.tif:0013-0438-0584:13	355	583.787	437.438	0
14	Pos002CFP-2.tif:0014-0439-0586:14	356	585.713	438.427	0
15	Pos002CFP-2.tif:0015-0442-0588:15	365	587.864	440.695	0
16	Pos002CFP-2.tif:0016-0444-0589:16	366	589.686	442.505	0
17	Pos002CFP-2.tif:0017-0447-0590:17	378	590.614	445.492	0
18	Pos002CFP-2.tif:0018-0448-0592:18	384	591.805	447.289	0
19	Pos002CFP-2.tif:0019-0452-0592:19	383	592.364	451.093	0
20	Pos002CFP-2.tif:0020-0460-0595:20	371	594.780	459.659	0
21	Pos002CFP-2.tif:0021-0467-0598:21	366	598.036	466.270	0
22	Pos002CFP-2.tif:0022-0493-0608:22	316	607.503	492.763	0
23	Pos002CFP-2.tif:0023-0493-0605:23	347	605.442	492.630	0
24	Pos002CFP-2.tif:0024-0491-0602:24	362	602.008	491.108	0
25	Pos002CFP-2.tif:0025-0489-0600:25	361	599.428	488.916	0
26	Pos002CFP-2.tif:0026-0502-0603:26	353	602.996	503.483	0
27	Pos002CFP-2.tif:0027-0528-0603:27	356	604.534	529.733	0
28	Pos002CFP-2.tif:0028-0527-0603:28	372	604.403	527.887	0
29	Pos002CFP-2.tif:0029-0522-0606:29	371	606.662	522.753	0
30	Pos002CFP-2.tif:0030-0520-0607:30	365	608.681	521.256	0
31	Pos002CFP-2.tif:0031-0515-0611:31	351	612.189	516.768	0
32	Pos002CFP-2.tif:0032-0514-0618:32	309	619.494	515.833	0
33	Pos002CFP-2.tif:0033-0521-0611:33	331	612.639	522.243	0
34	Pos002CFP-2.tif:0034-0528-0608:34	352	609.267	528.233	0
35	Pos002CFP-2.tif:0035-0531-0606:35	316	606.766	532.187	0
36	Pos002CFP-2.tif:0036-0505-0617:36	288	617.188	506.122	0
37	Pos002CFP-2.tif:0037-0500-0620:37	336	619.229	501.086	0
38	Pos002CFP-2.tif:0038-0491-0618:38	339	617.792	491.249	0
