 	Label	Area	X	Y	Division
1	Pos002CFP-2.tif:0001-0936-0304:1	367	304.437	937.089	0
2	Pos002CFP-2.tif:0002-0938-0340:2	362	340.392	938.260	0
3	Pos002CFP-2.tif:0003-0944-0324:3	348	323.684	944.118	0
4	Pos002CFP-2.tif:0004-0941-0313:4	335	313.121	941.724	0
5	Pos002CFP-2.tif:0005-0941-0306:5	347	306.670	941.595	1
6	Pos002CFP-2.tif:0006-0936-0305:6	170	305.718	936.859	0
7	Pos002CFP-2.tif:0007-0934-0298:7	224	298.790	934.558	0
8	Pos002CFP-2.tif:0008-0935-0296:8	282	297.245	936.131	0
9	Pos002CFP-2.tif:0009-0936-0292:9	301	293.287	936.437	0
10	Pos002CFP-2.tif:0010-0935-0290:10	357	290.234	935.744	0
11	Pos002CFP-2.tif:0011-0938-0289:11	410	289.715	938.871	0
12	Pos002CFP-2.tif:0012-0940-0288:12	407	289.392	941.117	0
13	Pos002CFP-2.tif:0013-0942-0290:13	409	291.167	942.935	0
14	Pos002CFP-2.tif:0014-0943-0294:14	388	296.036	943.407	0
15	Pos002CFP-2.tif:0015-0942-0302:15	386	303.420	941.627	0
16	Pos002CFP-2.tif:0016-0944-0304:16	395	305.394	944.037	0
17	Pos002CFP-2.tif:0017-0948-0302:17	362	303.050	947.878	0
18	Pos002CFP-2.tif:0018-0945-0296:18	386	296.707	945.606	0
19	Pos002CFP-2.tif:0019-0939-0287:19	380	286.911	938.908	0
20	Pos002CFP-2.tif:0020-0926-0278:20	354	277.531	926.554	0
21	Pos002CFP-2.tif:0021-0914-0267:21	317	266.708	913.582	0
22	Pos002CFP-2.tif:0022-0905-0260:22	303	259.790	905.186	0
23	Pos002CFP-2.tif:0023-0900-0256:23	327	256.781	900.286	0
24	Pos002CFP-2.tif:0024-0894-0253:24	306	253.013	894.134	0
25	Pos002CFP-2.tif:0025-0886-0241:25	337	241.245	885.815	0
26	Pos002CFP-2.tif:0026-0875-0226:26	317	226.774	875.330	0
27	Pos002CFP-2.tif:0027-0864-0206:27	279	206.210	864.414	0
28	Pos002CFP-2.tif:0028-0858-0191:28	213	191.232	857.425	0
29	Pos002CFP-2.tif:0029-0857-0176:29	266	175.850	857.744	0
30	Pos002CFP-2.tif:0030-0864-0167:30	352	167.034	864.233	0
31	Pos002CFP-2.tif:0031-0871-0170:31	338	169.737	870.349	0
32	Pos002CFP-2.tif:0032-0881-0170:32	312	170.192	880.830	0
33	Pos002CFP-2.tif:0033-0885-0155:33	299	155.413	884.577	0
34	Pos002CFP-2.tif:0034-0902-0148:34	268	147.918	901.694	0
35	Pos002CFP-2.tif:0035-0909-0132:35	265	131.764	908.515	0
36	Pos002CFP-2.tif:0036-0909-0128:36	311	127.950	908.783	0
37	Pos002CFP-2.tif:0037-0909-0123:37	294	122.830	908.507	0
38	Pos002CFP-2.tif:0038-0898-0128:38	314	128.752	897.650	0
39	Pos002CFP-2.tif:0039-0895-0128:39	290	128.024	894.731	0
40	Pos002CFP-2.tif:0040-0876-0129:40	283	129.136	876.041	0
41	Pos002CFP-2.tif:0041-0847-0119:41	283	119.108	847.171	0
42	Pos002CFP-2.tif:0042-0844-0115:42	295	115.961	844.168	0
43	Pos002CFP-2.tif:0043-0843-0122:43	289	122.244	842.870	0
44	Pos002CFP-2.tif:0044-0836-0127:44	266	128.030	836.229	0
45	Pos002CFP-2.tif:0045-0831-0126:45	319	126.917	831.406	0
46	Pos002CFP-2.tif:0046-0832-0125:46	313	125.720	832.065	0
47	Pos002CFP-2.tif:0047-0829-0124:47	318	124.113	829.418	0
48	Pos002CFP-2.tif:0048-0810-0121:48	291	122.242	809.716	0
49	Pos002CFP-2.tif:0049-0802-0120:49	290	120.921	802.152	0
50	Pos002CFP-2.tif:0050-0777-0111:50	270	110.552	778.107	0
51	Pos002CFP-2.tif:0051-0768-0110:51	258	110.287	769.178	0
52	Pos002CFP-2.tif:0052-0752-0109:52	244	108.512	753.131	0
53	Pos002CFP-2.tif:0053-0749-0112:53	259	111.581	750.068	0
54	Pos002CFP-2.tif:0054-0743-0116:54	275	115.805	744.115	0
55	Pos002CFP-2.tif:0055-0744-0118:55	303	118.345	745.028	0
56	Pos002CFP-2.tif:0056-0744-0120:56	302	119.944	744.930	0
57	Pos002CFP-2.tif:0057-0744-0121:57	312	121.035	744.798	0
58	Pos002CFP-2.tif:0058-0745-0122:58	310	121.935	746.100	0
59	Pos002CFP-2.tif:0059-0747-0122:59	326	122.494	747.883	0
60	Pos002CFP-2.tif:0060-0749-0123:60	328	123.366	750.204	0
61	Pos002CFP-2.tif:0061-0751-0121:61	323	121.642	751.995	0
62	Pos002CFP-2.tif:0062-0755-0118:62	310	118.932	756.155	0
63	Pos002CFP-2.tif:0063-0757-0116:63	302	116.705	758.202	0
64	Pos002CFP-2.tif:0064-0759-0115:64	304	115.967	759.582	0
65	Pos002CFP-2.tif:0065-0769-0108:65	263	108.952	769.120	0
66	Pos002CFP-2.tif:0066-0767-0112:66	312	112.625	767.699	0
67	Pos002CFP-2.tif:0067-0770-0112:67	322	112.453	770.273	0
68	Pos002CFP-2.tif:0068-0771-0112:68	330	112.652	771.864	0
69	Pos002CFP-2.tif:0069-0774-0111:69	330	111.876	774.985	0
70	Pos002CFP-2.tif:0070-0774-0112:70	326	112.690	774.908	0
71	Pos002CFP-2.tif:0071-0775-0112:71	322	112.649	775.553	0
72	Pos002CFP-2.tif:0072-0777-0113:72	323	112.760	777.720	0
73	Pos002CFP-2.tif:0073-0777-0113:73	326	113.218	777.270	0
74	Pos002CFP-2.tif:0073-0777-0113:73	326	113.218	777.270	0
