 	Label	Area	X	Y	Division
1	Pos001CFP-2.tif:0001-0369-0784:1	421	784.574	368.719	0
2	Pos001CFP-2.tif:0002-0365-0795:2	406	795.305	365.438	0
3	Pos001CFP-2.tif:0003-0367-0792:3	458	792.114	366.463	0
4	Pos001CFP-2.tif:0004-0366-0786:4	534	785.845	365.702	0
5	Pos001CFP-2.tif:0005-0373-0785:5	524	785.471	372.599	1
6	Pos001CFP-2.tif:0006-0383-0797:6	177	797.393	383.347	0
7	Pos001CFP-2.tif:0007-0385-0801:7	337	800.806	386.212	0
8	Pos001CFP-2.tif:0008-0386-0806:8	374	806.853	386.570	0
9	Pos001CFP-2.tif:0009-0388-0808:9	294	807.969	388.276	0
10	Pos001CFP-2.tif:0010-0388-0813:10	308	813.302	387.890	0
11	Pos001CFP-2.tif:0011-0387-0816:11	398	817.018	387.198	0
12	Pos001CFP-2.tif:0012-0387-0817:12	405	818.167	387.236	0
13	Pos001CFP-2.tif:0013-0386-0819:13	393	819.991	385.869	0
14	Pos001CFP-2.tif:0014-0386-0821:14	391	822.277	385.633	0
15	Pos001CFP-2.tif:0015-0388-0827:15	376	827.963	387.184	0
16	Pos001CFP-2.tif:0016-0389-0834:16	377	835.020	388.808	0
17	Pos001CFP-2.tif:0017-0391-0839:17	374	839.799	390.880	0
18	Pos001CFP-2.tif:0018-0396-0847:18	389	848.595	395.127	0
19	Pos001CFP-2.tif:0019-0399-0857:19	387	858.304	398.567	0
20	Pos001CFP-2.tif:0020-0406-0876:20	359	877.375	405.887	0
21	Pos001CFP-2.tif:0021-0412-0895:21	316	896.016	412.576	0
22	Pos001CFP-2.tif:0022-0414-0913:22	207	913.713	413.002	0
23	Pos001CFP-2.tif:0023-0414-0920:23	254	921.327	413.787	0
24	Pos001CFP-2.tif:0024-0412-0923:24	332	923.250	412.157	0
25	Pos001CFP-2.tif:0025-0411-0920:25	250	920.768	409.344	0
26	Pos001CFP-1.tif:0026-0534-1018:26	1	1018.500	534.500	0
27	Pos001CFP-2.tif:0026-0405-0914:26	302	915.579	404.911	0
28	Pos001CFP-2.tif:0027-0403-0934:27	296	934.615	401.865	0
29	Pos001CFP-2.tif:0028-0392-0959:28	115	958.230	391.448	0
30	Pos001CFP-2.tif:0029-0393-0960:29	171	960.874	393.056	0
31	Pos001CFP-2.tif:0030-0398-0957:30	202	956.876	398.020	0
32	Pos001CFP-2.tif:0031-0406-0957:31	174	956.264	404.874	0
33	Pos001CFP-2.tif:0032-0414-0960:32	240	959.458	413.158	0
34	Pos001CFP-2.tif:0033-0424-0965:33	290	965.269	423.828	0
35	Pos001CFP-2.tif:0034-0435-0968:34	252	968.365	434.849	0
36	Pos001CFP-2.tif:0035-0439-0967:35	282	967.816	439.443	0
37	Pos001CFP-2.tif:0036-0449-0964:36	269	964.515	449.266	0
38	Pos001CFP-2.tif:0037-0453-0953:37	239	953.872	453.308	0
39	Pos001CFP-2.tif:0038-0456-0942:38	259	943.125	455.500	0
40	Pos001CFP-2.tif:0039-0450-0931:39	195	930.905	449.372	0
41	Pos001CFP-2.tif:0040-0439-0924:40	171	923.711	439.091	0
42	Pos001CFP-2.tif:0041-0425-0919:41	172	919.448	424.808	0
43	Pos001CFP-2.tif:0042-0416-0916:42	261	916.033	416.845	0
44	Pos001CFP-2.tif:0043-0415-0916:43	278	915.932	415.874	0
45	Pos001CFP-2.tif:0044-0418-0901:44	239	901.772	418.538	0
46	Pos001CFP-2.tif:0045-0411-0894:45	225	893.793	411.411	0
47	Pos001CFP-2.tif:0046-0411-0893:46	251	893.313	411.835	0
48	Pos001CFP-2.tif:0047-0418-0897:47	249	898.151	418.058	0
49	Pos001CFP-2.tif:0048-0423-0903:48	246	903.134	422.524	0
50	Pos001CFP-2.tif:0049-0430-0911:49	247	911.986	429.678	0
51	Pos001CFP-2.tif:0050-0432-0918:50	288	918.049	432.156	0
52	Pos001CFP-2.tif:0051-0428-0921:51	296	920.166	427.990	0
53	Pos001CFP-2.tif:0052-0426-0926:52	301	925.949	425.849	0
54	Pos001CFP-2.tif:0053-0424-0929:53	299	928.998	424.567	0
55	Pos001CFP-2.tif:0054-0418-0938:54	289	937.881	417.766	0
56	Pos001CFP-2.tif:0055-0404-0942:55	239	942.324	403.818	0
57	Pos001CFP-2.tif:0056-0399-0946:56	234	946.192	398.513	0
58	Pos001CFP-2.tif:0057-0396-0953:57	229	953.675	396.762	0
59	Pos001CFP-2.tif:0058-0389-0960:58	231	960.093	388.820	0
60	Pos001CFP-2.tif:0059-0389-0962:59	250	962.388	389.772	0
61	Pos001CFP-2.tif:0060-0381-0967:60	252	967.774	381.790	0
62	Pos001CFP-2.tif:0061-0372-0974:61	272	974.062	372.540	0
63	Pos001CFP-2.tif:0062-0340-0994:62	284	993.824	340.923	0
64	Pos001CFP-2.tif:0063-0331-1000:63	249	1000.082	331.653	0
65	Pos001CFP-2.tif:0064-0326-1005:64	246	1004.606	326.476	0
66	Pos001CFP-2.tif:0065-0319-1011:65	257	1010.660	319.547	0
67	Pos001CFP-2.tif:0066-0316-1014:66	274	1013.591	315.872	0
