 	Label	Area	X	Y	Division
1	Pos001CFP-2.tif:0003-0325-0168:3	410	167.944	324.573	1
2	Pos001CFP-2.tif:0004-0320-0168:4	156	168.679	321.167	0
3	Pos001CFP-2.tif:0005-0322-0169:5	260	169.400	323.131	0
4	Pos001CFP-2.tif:0006-0322-0169:6	263	169.641	321.641	0
5	Pos001CFP-2.tif:0007-0320-0165:7	286	166.000	319.969	0
6	Pos001CFP-2.tif:0008-0317-0167:8	293	168.108	318.159	0
7	Pos001CFP-2.tif:0009-0314-0164:9	300	164.787	314.697	0
8	Pos001CFP-2.tif:0010-0310-0157:10	327	157.408	309.705	0
9	Pos001CFP-2.tif:0011-0302-0144:11	314	144.869	302.465	0
10	Pos001CFP-2.tif:0012-0290-0130:12	387	130.084	289.929	0
11	Pos001CFP-2.tif:0013-0277-0116:13	388	116.482	277.420	0
12	Pos001CFP-2.tif:0014-0261-0096:14	375	96.652	261.492	0
13	Pos001CFP-2.tif:0015-0253-0087:15	415	87.741	254.078	0
14	Pos001CFP-2.tif:0016-0258-0082:16	435	81.695	258.532	0
15	Pos001CFP-2.tif:0017-0264-0074:17	447	74.341	264.263	0
16	Pos001CFP-2.tif:0018-0279-0068:18	432	67.595	278.627	0
17	Pos001CFP-2.tif:0019-0289-0057:19	441	56.550	289.375	0
18	Pos001CFP-2.tif:0020-0306-0036:20	379	36.025	306.350	0
19	Pos001CFP-2.tif:0021-0305-0013:21	380	13.018	305.982	0
