 	Label	Area	X	Y	Division
1	Pos001CFP-2.tif:0001-0243-0469:1	444	468.806	243.081	0
2	Pos001CFP-2.tif:0002-0243-0462:2	361	462.442	243.076	0
3	Pos001CFP-2.tif:0003-0221-0470:3	419	469.450	220.681	0
4	Pos001CFP-2.tif:0004-0217-0472:4	410	471.934	216.995	1
5	Pos001CFP-2.tif:0005-0218-0485:5	241	485.093	218.085	0
6	Pos001CFP-2.tif:0006-0218-0489:6	238	488.462	218.361	0
7	Pos001CFP-2.tif:0007-0214-0490:7	268	489.507	213.933	0
8	Pos001CFP-2.tif:0008-0212-0492:8	368	492.111	212.299	0
9	Pos001CFP-2.tif:0009-0211-0496:9	366	496.003	211.415	0
10	Pos001CFP-2.tif:0010-0209-0499:10	281	499.005	210.326	0
11	Pos001CFP-2.tif:0011-0209-0503:11	306	503.605	209.003	0
12	Pos001CFP-2.tif:0012-0209-0506:12	255	506.343	209.202	0
13	Pos001CFP-2.tif:0013-0210-0512:13	374	511.909	210.096	0
14	Pos001CFP-2.tif:0014-0225-0515:14	262	515.447	223.733	0
15	Pos001CFP-2.tif:0015-0231-0520:15	275	521.111	230.904	0
16	Pos001CFP-2.tif:0016-0235-0524:16	362	525.290	234.599	0
17	Pos001CFP-2.tif:0017-0240-0529:17	364	529.992	239.456	0
18	Pos001CFP-2.tif:0018-0252-0539:18	349	539.388	251.170	0
19	Pos001CFP-2.tif:0019-0270-0547:19	241	546.666	269.948	0
20	Pos001CFP-2.tif:0020-0284-0550:20	320	549.234	283.706	0
21	Pos001CFP-2.tif:0021-0297-0556:21	296	555.632	297.483	0
22	Pos001CFP-2.tif:0022-0315-0561:22	312	560.933	316.192	0
23	Pos001CFP-2.tif:0023-0324-0568:23	292	567.644	325.168	0
24	Pos001CFP-2.tif:0024-0334-0578:24	305	578.431	333.900	0
25	Pos001CFP-2.tif:0025-0346-0588:25	325	587.949	345.285	0
26	Pos001CFP-2.tif:0026-0368-0598:26	313	597.257	368.161	0
27	Pos001CFP-2.tif:0027-0398-0610:27	309	609.125	398.050	0
28	Pos001CFP-2.tif:0028-0408-0613:28	327	612.824	408.350	0
29	Pos001CFP-2.tif:0029-0419-0616:29	330	615.236	418.821	0
30	Pos001CFP-2.tif:0030-0429-0619:30	332	619.852	428.355	0
31	Pos001CFP-2.tif:0031-0433-0623:31	338	623.716	432.509	0
32	Pos001CFP-2.tif:0032-0441-0629:32	339	628.937	440.630	0
33	Pos001CFP-2.tif:0033-0444-0633:33	214	631.533	444.355	0
34	Pos001CFP-2.tif:0034-0449-0633:34	279	633.099	449.339	0
35	Pos001CFP-2.tif:0035-0454-0637:35	278	637.230	453.978	0
36	Pos001CFP-2.tif:0036-0471-0645:36	250	645.496	471.000	0
37	Pos001CFP-2.tif:0037-0488-0647:37	307	647.396	488.930	0
38	Pos001CFP-2.tif:0038-0493-0645:38	266	645.267	493.286	0
39	Pos001CFP-2.tif:0039-0501-0645:39	283	645.161	501.567	0
40	Pos001CFP-2.tif:0040-0502-0645:40	284	645.975	503.141	0
41	Pos001CFP-2.tif:0041-0521-0632:41	277	632.612	522.226	0
42	Pos001CFP-2.tif:0042-0534-0619:42	295	619.920	534.653	0
43	Pos001CFP-2.tif:0043-0541-0612:43	300	612.963	541.520	0
44	Pos001CFP-2.tif:0044-0551-0604:44	300	604.903	551.983	0
45	Pos001CFP-2.tif:0045-0572-0585:45	277	585.428	572.406	0
46	Pos001CFP-2.tif:0046-0574-0580:46	290	580.621	573.283	0
47	Pos001CFP-2.tif:0047-0586-0565:47	270	565.304	585.415	0
48	Pos001CFP-2.tif:0048-0586-0562:48	301	562.424	586.238	0
49	Pos001CFP-2.tif:0049-0593-0547:49	298	547.228	593.215	0
50	Pos001CFP-2.tif:0050-0600-0536:50	313	536.430	599.887	0
51	Pos001CFP-2.tif:0051-0602-0510:51	300	510.743	601.660	0
52	Pos001CFP-2.tif:0052-0599-0496:52	301	496.098	599.035	0
53	Pos001CFP-2.tif:0053-0596-0494:53	301	494.111	597.038	0
54	Pos001CFP-2.tif:0054-0599-0493:54	305	493.097	599.995	0
55	Pos001CFP-2.tif:0055-0603-0489:55	311	488.818	603.268	0
56	Pos001CFP-2.tif:0056-0606-0487:56	314	486.217	606.965	0
57	Pos001CFP-2.tif:0057-0612-0484:57	299	484.246	612.436	0
58	Pos001CFP-2.tif:0058-0619-0487:58	293	486.183	619.439	0
59	Pos001CFP-2.tif:0059-0640-0488:59	257	487.605	640.449	0
60	Pos001CFP-2.tif:0060-0651-0488:60	284	488.493	650.718	0
61	Pos001CFP-2.tif:0061-0664-0481:61	267	481.713	664.493	0
62	Pos001CFP-2.tif:0062-0672-0475:62	290	475.821	672.297	0
63	Pos001CFP-2.tif:0063-0687-0469:63	294	469.714	688.024	0
64	Pos001CFP-2.tif:0064-0696-0463:64	292	464.178	696.568	0
65	Pos001CFP-2.tif:0065-0701-0456:65	287	456.305	701.155	0
66	Pos001CFP-2.tif:0066-0707-0451:66	290	451.990	707.303	0
67	Pos001CFP-2.tif:0067-0717-0445:67	290	445.876	717.179	0
68	Pos001CFP-2.tif:0068-0722-0442:68	287	442.848	722.514	0
69	Pos001CFP-2.tif:0069-0727-0441:69	280	441.964	727.664	0
70	Pos001CFP-2.tif:0070-0733-0435:70	273	436.394	732.471	0
71	Pos001CFP-2.tif:0071-0736-0429:71	287	429.556	736.256	0
72	Pos001CFP-2.tif:0072-0741-0423:72	290	422.969	741.376	0
73	Pos001CFP-2.tif:0073-0741-0416:73	273	416.005	741.060	0
