 	Label	Area	X	Y	Division
1	Pos003CFP.tif:0001-0592-0519:1	483	519.777	592.121	0
2	Pos003CFP.tif:0002-0589-0530:2	446	530.850	589.493	0
3	Pos003CFP.tif:0003-0590-0532:3	446	532.186	590.709	0
4	Pos003CFP.tif:0004-0589-0532:4	441	532.498	588.994	1
5	Pos003CFP.tif:0005-0592-0533:5	196	533.648	591.653	0
6	Pos003CFP.tif:0006-0591-0533:6	279	532.747	590.987	0
7	Pos003CFP.tif:0007-0592-0529:7	241	529.782	592.114	0
8	Pos003CFP.tif:0008-0595-0526:8	235	526.806	594.704	0
9	Pos003CFP.tif:0009-0598-0524:9	241	524.985	598.251	0
10	Pos003CFP.tif:0010-0599-0524:10	227	524.275	599.055	0
11	Pos003CFP.tif:0011-0600-0523:11	292	524.318	599.651	0
12	Pos003CFP.tif:0012-0603-0522:12	297	523.328	602.500	0
13	Pos003CFP.tif:0013-0602-0523:13	293	523.981	602.060	0
14	Pos003CFP.tif:0014-0599-0526:14	290	526.893	599.021	0
15	Pos003CFP.tif:0015-0594-0533:15	293	533.237	594.196	0
16	Pos003CFP.tif:0016-0587-0542:16	247	543.334	586.877	0
17	Pos003CFP.tif:0017-0585-0545:17	219	546.779	585.066	0
18	Pos003CFP.tif:0018-0589-0540:18	298	540.836	588.883	0
19	Pos003CFP.tif:0019-0597-0531:19	296	531.875	596.760	0
20	Pos003CFP.tif:0020-0613-0516:20	255	516.292	612.382	0
21	Pos003CFP.tif:0021-0610-0513:21	301	513.357	610.380	0
22	Pos003CFP.tif:0022-0605-0522:22	308	522.224	604.256	0
23	Pos003CFP.tif:0023-0597-0531:23	314	531.739	597.102	0
24	Pos003CFP.tif:0024-0587-0545:24	305	545.546	586.697	0
25	Pos003CFP.tif:0025-0563-0573:25	274	573.971	563.190	0
26	Pos003CFP.tif:0026-0556-0585:26	214	585.944	556.196	0
27	Pos003CFP.tif:0027-0569-0570:27	270	571.470	568.604	0
28	Pos003CFP.tif:0028-0572-0556:28	271	556.493	571.740	0
29	Pos003CFP.tif:0029-0576-0546:29	260	546.485	575.527	0
30	Pos003CFP.tif:0030-0592-0533:30	266	533.380	591.357	0
31	Pos003CFP.tif:0031-0601-0525:31	278	525.881	600.853	0
32	Pos003CFP.tif:0032-0616-0508:32	243	509.146	615.862	0
33	Pos003CFP.tif:0033-0617-0509:33	284	509.296	616.433	0
34	Pos003CFP.tif:0034-0616-0512:34	275	512.573	616.027	0
35	Pos003CFP.tif:0035-0622-0506:35	269	506.764	621.823	0
36	Pos003CFP.tif:0036-0629-0499:36	263	499.846	628.759	0
37	Pos003CFP.tif:0037-0632-0496:37	254	496.638	631.693	0
38	Pos003CFP.tif:0038-0626-0504:38	255	504.422	625.124	0
39	Pos003CFP.tif:0039-0621-0509:39	266	509.049	620.650	0
40	Pos003CFP.tif:0040-0621-0508:40	278	508.734	620.363	0
41	Pos003CFP.tif:0041-0617-0508:41	270	509.085	617.126	0
42	Pos003CFP.tif:0042-0617-0508:42	269	508.433	616.994	0
43	Pos003CFP.tif:0043-0619-0503:43	276	504.246	619.250	0
44	Pos003CFP.tif:0044-0619-0500:44	267	500.777	619.758	0
45	Pos003CFP.tif:0045-0613-0504:45	263	504.812	613.591	0
46	Pos003CFP.tif:0046-0601-0517:46	256	518.336	601.281	0
47	Pos003CFP.tif:0047-0597-0522:47	254	523.398	596.819	0
48	Pos003CFP.tif:0048-0598-0525:48	252	525.373	598.063	0
49	Pos003CFP.tif:0049-0599-0527:49	259	527.952	598.434	0
50	Pos003CFP.tif:0050-0596-0532:50	255	531.963	595.892	0
51	Pos003CFP.tif:0051-0591-0536:51	258	536.868	590.814	0
52	Pos003CFP.tif:0052-0583-0548:52	251	548.110	582.659	0
53	Pos003CFP.tif:0053-0576-0555:53	259	555.902	576.195	0
54	Pos003CFP.tif:0054-0572-0564:54	263	564.774	572.424	0
55	Pos003CFP.tif:0055-0570-0569:55	263	569.759	570.006	0
56	Pos003CFP.tif:0056-0566-0571:56	267	572.088	566.459	0
57	Pos003CFP.tif:0057-0561-0576:57	260	576.708	560.973	0
58	Pos003CFP.tif:0058-0556-0584:58	256	584.508	556.070	0
59	Pos003CFP.tif:0059-0548-0591:59	264	591.769	548.674	0
60	Pos003CFP.tif:0060-0542-0593:60	252	593.917	542.619	0
61	Pos003CFP.tif:0061-0541-0590:61	227	590.883	541.747	0
62	Pos003CFP.tif:0062-0547-0584:62	224	584.080	547.228	0
63	Pos003CFP.tif:0063-0549-0579:63	215	578.765	549.500	0
64	Pos003CFP.tif:0064-0550-0578:64	221	578.649	550.183	0
65	Pos003CFP.tif:0065-0555-0575:65	240	575.217	555.179	0
66	Pos003CFP.tif:0066-0570-0560:66	219	561.048	570.231	0
67	Pos003CFP.tif:0067-0574-0553:67	215	553.802	574.658	0
68	Pos003CFP.tif:0068-0581-0545:68	213	545.735	581.594	0
69	Pos003CFP.tif:0069-0603-0522:69	220	522.723	603.182	0
70	Pos003CFP.tif:0070-0612-0512:70	238	511.681	612.718	0
71	Pos003CFP.tif:0071-0618-0510:71	267	510.245	617.275	0
72	Pos003CFP.tif:0072-0619-0510:72	263	510.222	618.797	0
73	Pos003CFP.tif:0073-0622-0508:73	262	509.103	621.416	0
