 	Label	Area	X	Y	Division
1	Pos003CFP.tif:0004-0589-0532:4	441	532.498	588.994	1
2	Pos003CFP.tif:0005-0575-0547:5	244	547.176	575.094	0
3	Pos003CFP.tif:0006-0575-0546:6	201	545.644	576.002	0
4	Pos003CFP.tif:0007-0578-0545:7	196	544.439	579.306	0
5	Pos003CFP.tif:0008-0583-0540:8	214	540.411	583.995	0
6	Pos003CFP.tif:0009-0585-0538:9	240	538.888	585.417	0
7	Pos003CFP.tif:0010-0586-0538:10	252	538.504	585.937	0
8	Pos003CFP.tif:0011-0585-0542:11	309	541.749	585.435	0
9	Pos003CFP.tif:0012-0581-0547:12	327	546.794	582.332	0
10	Pos003CFP.tif:0013-0578-0550:13	308	549.825	578.977	0
11	Pos003CFP.tif:0014-0575-0552:14	310	552.155	576.310	0
12	Pos003CFP.tif:0015-0572-0558:15	303	558.292	573.028	0
13	Pos003CFP.tif:0016-0570-0562:16	243	561.887	571.677	0
14	Pos003CFP.tif:0017-0569-0566:17	243	565.496	570.204	0
15	Pos003CFP.tif:0018-0559-0575:18	295	575.381	560.744	0
16	Pos003CFP.tif:0019-0558-0578:19	293	577.599	558.701	0
17	Pos003CFP.tif:0020-0557-0578:20	308	578.308	557.763	0
18	Pos003CFP.tif:0021-0556-0578:21	315	577.906	557.675	0
19	Pos003CFP.tif:0022-0557-0580:22	315	579.837	557.824	0
20	Pos003CFP.tif:0023-0557-0579:23	324	579.556	558.037	0
21	Pos003CFP.tif:0024-0549-0590:24	296	589.375	549.905	0
22	Pos003CFP.tif:0025-0543-0598:25	291	597.149	543.988	0
23	Pos003CFP.tif:0026-0541-0601:26	216	600.685	541.870	0
24	Pos003CFP.tif:0027-0544-0593:27	298	593.423	545.681	0
25	Pos003CFP.tif:0028-0553-0581:28	273	580.954	553.877	0
26	Pos003CFP.tif:0029-0555-0576:29	281	576.226	555.329	0
27	Pos003CFP.tif:0030-0553-0576:30	283	576.846	553.606	0
28	Pos003CFP.tif:0031-0548-0583:31	272	583.735	548.739	0
29	Pos003CFP.tif:0032-0540-0595:32	277	595.200	541.088	0
30	Pos003CFP.tif:0033-0533-0604:33	288	604.194	534.448	0
31	Pos003CFP.tif:0034-0534-0603:34	284	603.732	534.908	0
32	Pos003CFP.tif:0035-0536-0600:35	278	600.651	537.601	0
33	Pos003CFP.tif:0036-0540-0592:36	278	593.216	540.957	0
34	Pos003CFP.tif:0037-0550-0580:37	277	581.139	551.240	0
35	Pos003CFP.tif:0038-0565-0552:38	285	552.244	566.223	0
36	Pos003CFP.tif:0039-0578-0539:39	299	538.938	578.988	0
37	Pos003CFP.tif:0040-0584-0536:40	307	535.474	584.585	0
38	Pos003CFP.tif:0041-0586-0534:41	298	533.745	586.869	0
39	Pos003CFP.tif:0042-0591-0531:42	298	530.651	592.178	0
40	Pos003CFP.tif:0043-0596-0527:43	300	527.253	596.340	0
41	Pos003CFP.tif:0044-0595-0525:44	289	525.673	596.119	0
42	Pos003CFP.tif:0045-0585-0533:45	279	532.482	586.271	0
43	Pos003CFP.tif:0046-0574-0544:46	273	543.566	574.526	0
44	Pos003CFP.tif:0047-0571-0549:47	278	548.802	571.547	0
45	Pos003CFP.tif:0048-0569-0554:48	278	553.554	570.237	0
46	Pos003CFP.tif:0049-0566-0560:49	279	560.547	567.375	0
47	Pos003CFP.tif:0050-0564-0565:50	280	565.946	565.496	0
48	Pos003CFP.tif:0051-0562-0574:51	266	575.466	563.323	0
49	Pos003CFP.tif:0052-0560-0583:52	261	583.400	561.021	0
50	Pos003CFP.tif:0053-0558-0586:53	271	586.655	558.747	0
51	Pos003CFP.tif:0054-0554-0595:54	282	595.135	554.986	0
52	Pos003CFP.tif:0055-0548-0602:55	279	601.332	548.952	0
53	Pos003CFP.tif:0056-0540-0607:56	274	606.555	540.883	0
54	Pos003CFP.tif:0057-0536-0610:57	270	609.315	536.811	0
55	Pos003CFP.tif:0058-0532-0613:58	267	613.118	533.099	0
56	Pos003CFP.tif:0059-0530-0615:59	264	615.269	530.311	0
57	Pos003CFP.tif:0060-0531-0615:60	268	614.892	531.832	0
58	Pos003CFP.tif:0061-0535-0610:61	268	610.511	535.847	0
59	Pos003CFP.tif:0062-0537-0608:62	280	607.539	538.264	0
60	Pos003CFP.tif:0063-0539-0603:63	288	603.333	540.396	0
61	Pos003CFP.tif:0064-0542-0601:64	286	601.035	543.042	0
62	Pos003CFP.tif:0065-0545-0597:65	292	596.877	546.178	0
63	Pos003CFP.tif:0066-0550-0590:66	280	590.011	551.132	0
64	Pos003CFP.tif:0067-0553-0587:67	286	586.955	553.493	0
65	Pos003CFP.tif:0068-0552-0586:68	290	586.483	552.983	0
66	Pos003CFP.tif:0069-0551-0585:69	299	585.607	552.135	0
67	Pos003CFP.tif:0070-0551-0585:70	297	585.493	551.652	0
68	Pos003CFP.tif:0071-0552-0586:71	304	587.128	553.016	0
69	Pos003CFP.tif:0072-0551-0589:72	303	589.583	551.955	0
70	Pos003CFP.tif:0073-0550-0592:73	314	592.115	551.207	0
