 	Label	Area	X	Y	Division
1	Pos001CFP-2.tif:0001-0477-0305:1	460	305.941	476.967	0
2	Pos001CFP-2.tif:0002-0476-0326:2	358	325.961	476.388	0
3	Pos001CFP-2.tif:0003-0478-0322:3	415	322.734	478.416	1
4	Pos001CFP-2.tif:0004-0468-0327:4	215	327.072	468.421	0
5	Pos001CFP-2.tif:0005-0469-0322:5	224	321.781	469.808	0
6	Pos001CFP-2.tif:0006-0468-0319:6	221	319.984	467.971	0
7	Pos001CFP-2.tif:0007-0458-0306:7	353	305.939	458.695	0
8	Pos001CFP-2.tif:0008-0448-0297:8	390	297.018	448.026	0
9	Pos001CFP-2.tif:0009-0443-0289:9	412	289.277	442.993	0
10	Pos001CFP-2.tif:0010-0434-0274:10	397	274.059	434.447	0
11	Pos001CFP-2.tif:0011-0426-0264:11	391	264.262	426.541	0
12	Pos001CFP-2.tif:0012-0419-0259:12	387	259.810	418.968	0
13	Pos001CFP-2.tif:0013-0412-0259:13	384	259.732	412.172	0
14	Pos001CFP-2.tif:0014-0405-0261:14	396	261.586	405.283	0
15	Pos001CFP-2.tif:0015-0403-0264:15	393	264.655	402.945	0
16	Pos001CFP-2.tif:0016-0405-0267:16	416	268.120	405.707	0
17	Pos001CFP-2.tif:0017-0440-0298:17	395	298.201	440.259	0
18	Pos001CFP-2.tif:0018-0446-0304:18	397	304.356	446.188	0
19	Pos001CFP-2.tif:0019-0446-0309:19	295	309.002	446.683	0
20	Pos001CFP-2.tif:0020-0441-0309:20	241	309.890	440.388	0
