 	Label	Area	X	Y	Division
1	Pos003CFP.tif:0001-0412-0685:1	481	685.201	411.662	0
2	Pos003CFP.tif:0002-0407-0694:2	421	695.450	407.778	0
3	Pos003CFP.tif:0003-0407-0698:3	424	698.616	407.568	0
4	Pos003CFP.tif:0004-0407-0700:4	402	699.993	407.224	1
5	Pos003CFP.tif:0005-0411-0699:5	225	700.176	410.798	0
6	Pos003CFP.tif:0006-0411-0701:6	249	701.227	411.014	0
7	Pos003CFP.tif:0007-0404-0709:7	280	709.207	404.479	0
8	Pos003CFP.tif:0008-0402-0713:8	304	713.704	401.480	0
9	Pos003CFP.tif:0009-0402-0715:9	274	715.007	402.186	0
10	Pos003CFP.tif:0010-0401-0717:10	278	717.194	401.083	0
11	Pos003CFP.tif:0011-0407-0706:11	321	706.276	406.718	0
12	Pos003CFP.tif:0012-0414-0686:12	281	686.553	414.180	0
13	Pos003CFP.tif:0013-0413-0687:13	268	687.959	413.996	0
14	Pos003CFP.tif:0014-0412-0672:14	243	672.479	412.652	0
15	Pos003CFP.tif:0015-0413-0677:15	275	677.762	413.860	0
16	Pos003CFP.tif:0016-0412-0662:16	265	662.319	413.164	0
17	Pos003CFP.tif:0017-0413-0650:17	250	649.332	413.084	0
18	Pos003CFP.tif:0018-0413-0660:18	289	659.946	413.991	0
19	Pos003CFP.tif:0019-0413-0663:19	300	663.297	413.277	0
20	Pos003CFP.tif:0020-0412-0670:20	309	669.733	412.917	0
21	Pos003CFP.tif:0021-0413-0677:21	319	677.989	413.760	0
22	Pos003CFP.tif:0022-0414-0689:22	273	689.910	414.262	0
23	Pos003CFP.tif:0023-0407-0699:23	302	699.278	407.818	0
24	Pos003CFP.tif:0024-0405-0703:24	317	703.781	405.661	0
25	Pos003CFP.tif:0025-0408-0705:25	285	705.353	408.682	0
26	Pos003CFP.tif:0026-0412-0694:26	234	695.205	412.632	0
27	Pos003CFP.tif:0027-0418-0690:27	226	690.978	418.204	0
28	Pos003CFP.tif:0028-0413-0701:28	263	701.409	413.721	0
29	Pos003CFP.tif:0029-0407-0714:29	267	714.979	407.268	0
30	Pos003CFP.tif:0030-0406-0721:30	250	721.760	406.804	0
31	Pos003CFP.tif:0031-0397-0743:31	242	742.793	396.971	0
32	Pos003CFP.tif:0032-0402-0771:32	278	771.773	402.615	0
33	Pos003CFP.tif:0033-0398-0770:33	288	770.615	398.878	0
34	Pos003CFP.tif:0034-0398-0761:34	287	762.169	398.284	0
35	Pos003CFP.tif:0035-0397-0756:35	289	756.168	396.746	0
36	Pos003CFP.tif:0036-0394-0756:36	278	756.424	394.140	0
37	Pos003CFP.tif:0037-0388-0753:37	267	753.669	389.118	0
38	Pos003CFP.tif:0038-0384-0749:38	266	749.444	384.372	0
39	Pos003CFP.tif:0039-0383-0749:39	275	749.631	383.347	0
40	Pos003CFP.tif:0040-0379-0751:40	279	751.163	379.210	0
41	Pos003CFP.tif:0041-0381-0753:41	276	752.913	381.207	0
42	Pos003CFP.tif:0042-0384-0755:42	283	755.284	384.811	0
43	Pos003CFP.tif:0043-0387-0754:43	284	754.525	387.532	0
44	Pos003CFP.tif:0044-0396-0755:44	294	755.779	396.037	0
45	Pos003CFP.tif:0045-0400-0756:45	287	756.650	400.228	0
46	Pos003CFP.tif:0046-0395-0756:46	286	756.273	394.962	0
47	Pos003CFP.tif:0047-0384-0749:47	281	748.895	384.447	0
48	Pos003CFP.tif:0048-0381-0754:48	277	753.995	380.984	0
49	Pos003CFP.tif:0049-0374-0751:49	270	751.437	374.707	0
50	Pos003CFP.tif:0050-0371-0755:50	262	755.431	371.401	0
51	Pos003CFP.tif:0051-0373-0757:51	277	756.969	372.894	0
52	Pos003CFP.tif:0052-0374-0757:52	281	757.290	374.806	0
53	Pos003CFP.tif:0053-0378-0759:53	285	758.693	378.381	0
54	Pos003CFP.tif:0054-0377-0761:54	282	760.684	377.571	0
55	Pos003CFP.tif:0055-0379-0762:55	286	761.986	379.689	0
56	Pos003CFP.tif:0056-0379-0761:56	282	760.957	379.801	0
57	Pos003CFP.tif:0057-0379-0762:57	285	761.812	379.219	0
58	Pos003CFP.tif:0058-0378-0762:58	284	761.775	378.525	0
59	Pos003CFP.tif:0059-0376-0761:59	287	761.298	376.291	0
60	Pos003CFP.tif:0060-0373-0761:60	272	761.316	373.581	0
61	Pos003CFP.tif:0061-0373-0759:61	281	759.205	373.742	0
62	Pos003CFP.tif:0062-0371-0759:62	282	758.674	371.156	0
63	Pos003CFP.tif:0063-0371-0758:63	278	758.561	371.252	0
64	Pos003CFP.tif:0064-0374-0761:64	275	760.867	374.875	0
65	Pos003CFP.tif:0065-0382-0765:65	277	765.182	382.114	0
66	Pos003CFP.tif:0066-0385-0767:66	277	767.291	385.348	0
67	Pos003CFP.tif:0067-0391-0771:67	278	771.025	391.554	0
68	Pos003CFP.tif:0068-0389-0769:68	277	768.453	389.334	0
69	Pos003CFP.tif:0069-0386-0767:69	276	766.638	386.772	0
70	Pos003CFP.tif:0070-0383-0764:70	282	764.351	383.422	0
71	Pos003CFP.tif:0071-0377-0763:71	274	762.759	377.956	0
72	Pos003CFP.tif:0072-0348-0748:72	260	748.935	348.258	0
73	Pos003CFP.tif:0073-0346-0749:73	253	748.812	346.583	0
