 	Label	Area	X	Y	Division
1	Pos001CFP-2.tif:0004-0264-0668:4	505	668.122	263.874	1
2	Pos001CFP-2.tif:0005-0259-0666:5	200	666.315	259.690	0
3	Pos001CFP-2.tif:0006-0260-0666:6	191	665.741	260.882	0
4	Pos001CFP-2.tif:0007-0260-0665:7	198	665.551	260.515	0
5	Pos001CFP-2.tif:0008-0258-0666:8	261	666.504	259.136	0
6	Pos001CFP-2.tif:0009-0258-0669:9	355	669.323	259.083	0
7	Pos001CFP-2.tif:0010-0256-0671:10	351	671.406	256.631	0
8	Pos001CFP-2.tif:0011-0256-0672:11	276	673.109	255.768	0
9	Pos001CFP-2.tif:0012-0266-0673:12	232	673.569	265.362	0
10	Pos001CFP-2.tif:0013-0276-0672:13	251	671.779	276.082	0
11	Pos001CFP-2.tif:0014-0286-0670:14	239	670.257	286.136	0
12	Pos001CFP-2.tif:0015-0297-0671:15	252	670.889	295.754	0
13	Pos001CFP-2.tif:0016-0308-0670:16	318	669.648	307.991	0
14	Pos001CFP-2.tif:0017-0317-0671:17	335	670.939	317.154	0
15	Pos001CFP-2.tif:0018-0321-0673:18	329	673.777	320.257	0
16	Pos001CFP-2.tif:0019-0330-0682:19	311	682.400	329.822	0
17	Pos001CFP-2.tif:0020-0335-0684:20	315	684.281	335.370	0
18	Pos001CFP-2.tif:0021-0333-0686:21	319	686.017	332.691	0
19	Pos001CFP-2.tif:0022-0337-0690:22	322	689.289	337.208	0
20	Pos001CFP-2.tif:0023-0350-0696:23	344	695.791	349.794	0
21	Pos001CFP-2.tif:0024-0362-0708:24	326	708.267	362.988	0
22	Pos001CFP-2.tif:0025-0371-0722:25	334	722.189	371.982	0
23	Pos001CFP-2.tif:0026-0374-0733:26	353	732.948	373.945	0
24	Pos001CFP-2.tif:0027-0375-0738:27	370	738.611	375.359	0
25	Pos001CFP-2.tif:0028-0377-0741:28	371	741.357	377.627	0
26	Pos001CFP-2.tif:0029-0375-0743:29	384	743.628	375.490	0
27	Pos001CFP-2.tif:0030-0371-0752:30	384	752.339	371.378	0
28	Pos001CFP-2.tif:0031-0368-0756:31	342	756.102	368.041	0
29	Pos001CFP-2.tif:0032-0365-0760:32	341	760.139	364.661	0
30	Pos001CFP-2.tif:0033-0365-0761:33	327	761.041	365.604	0
31	Pos001CFP-2.tif:0034-0366-0763:34	326	763.423	366.261	0
32	Pos001CFP-2.tif:0035-0367-0764:35	311	765.066	366.709	0
33	Pos001CFP-2.tif:0036-0366-0763:36	310	763.903	366.352	0
34	Pos001CFP-2.tif:0037-0364-0759:37	311	759.230	363.590	0
35	Pos001CFP-2.tif:0038-0361-0750:38	310	750.935	360.971	0
36	Pos001CFP-2.tif:0039-0355-0742:39	333	742.635	355.317	0
37	Pos001CFP-2.tif:0040-0351-0732:40	325	731.986	351.248	0
38	Pos001CFP-2.tif:0041-0349-0729:41	331	729.397	349.582	0
39	Pos001CFP-2.tif:0042-0349-0727:42	331	727.210	349.267	0
40	Pos001CFP-2.tif:0043-0348-0723:43	318	722.852	348.063	0
41	Pos001CFP-2.tif:0044-0340-0709:44	328	709.052	340.165	0
42	Pos001CFP-2.tif:0045-0333-0695:45	324	694.806	333.287	0
43	Pos001CFP-2.tif:0046-0328-0684:46	336	684.360	328.039	0
44	Pos001CFP-2.tif:0047-0323-0666:47	319	665.839	323.795	0
45	Pos001CFP-2.tif:0048-0317-0657:48	285	657.040	317.784	0
46	Pos001CFP-2.tif:0049-0319-0655:49	328	655.720	319.134	0
47	Pos001CFP-2.tif:0050-0323-0649:50	334	649.159	323.464	0
48	Pos001CFP-2.tif:0051-0315-0637:51	328	636.951	315.180	0
49	Pos001CFP-2.tif:0052-0310-0632:52	334	631.515	309.653	0
50	Pos001CFP-2.tif:0053-0311-0623:53	329	623.105	311.597	0
51	Pos001CFP-2.tif:0054-0314-0614:54	330	614.506	313.915	0
52	Pos001CFP-2.tif:0055-0318-0612:55	341	612.814	318.521	0
53	Pos001CFP-2.tif:0056-0326-0612:56	339	611.668	326.370	0
54	Pos001CFP-2.tif:0057-0331-0617:57	322	617.062	331.655	0
55	Pos001CFP-2.tif:0058-0322-0610:58	315	610.817	322.002	0
56	Pos001CFP-2.tif:0059-0342-0602:59	312	602.792	342.926	0
57	Pos001CFP-2.tif:0060-0351-0599:60	316	599.953	351.601	0
58	Pos001CFP-2.tif:0061-0378-0599:61	312	599.218	378.401	0
59	Pos001CFP-2.tif:0062-0399-0597:62	252	597.413	399.885	0
60	Pos001CFP-2.tif:0063-0408-0600:63	271	601.614	407.777	0
61	Pos001CFP-2.tif:0064-0431-0616:64	283	615.920	431.306	0
62	Pos001CFP-2.tif:0065-0436-0617:65	295	617.131	436.646	0
63	Pos001CFP-2.tif:0066-0436-0616:66	292	616.613	436.147	0
64	Pos001CFP-2.tif:0067-0431-0613:67	270	613.126	431.263	0
65	Pos001CFP-2.tif:0068-0426-0609:68	275	609.365	426.489	0
66	Pos001CFP-2.tif:0069-0419-0605:69	278	604.932	419.698	0
67	Pos001CFP-2.tif:0070-0432-0611:70	252	611.837	431.873	0
68	Pos001CFP-2.tif:0071-0465-0635:71	268	635.392	465.832	0
69	Pos001CFP-2.tif:0072-0483-0651:72	156	649.981	484.026	0
70	Pos001CFP-2.tif:0073-0512-0672:73	241	671.944	511.376	0
