 	Label	Area	X	Y	Division
1	Pos003CFP.tif:0001-0175-0445:1	628	445.296	175.490	0
2	Pos003CFP.tif:0002-0171-0455:2	552	455.230	171.337	0
3	Pos003CFP.tif:0003-0169-0457:3	543	457.780	169.509	0
4	Pos003CFP.tif:0004-0170-0457:4	539	457.155	170.339	1
5	Pos003CFP.tif:0005-0171-0451:5	203	450.924	171.406	0
6	Pos003CFP.tif:0006-0160-0449:6	318	450.009	160.352	0
7	Pos003CFP.tif:0007-0163-0448:7	310	448.200	163.726	0
8	Pos003CFP.tif:0008-0162-0448:8	294	448.425	163.160	0
9	Pos003CFP.tif:0009-0165-0450:9	310	450.868	166.023	0
10	Pos003CFP.tif:0010-0168-0453:10	331	452.548	168.539	0
11	Pos003CFP.tif:0011-0174-0453:11	311	453.892	174.584	0
12	Pos003CFP.tif:0012-0179-0451:12	396	450.611	179.475	0
13	Pos003CFP.tif:0013-0179-0450:13	397	449.110	179.777	0
14	Pos003CFP.tif:0014-0178-0451:14	393	450.042	179.480	0
15	Pos003CFP.tif:0015-0182-0453:15	400	452.228	183.093	0
16	Pos003CFP.tif:0016-0189-0461:16	423	459.952	190.301	0
17	Pos003CFP.tif:0017-0197-0468:17	383	467.450	197.500	0
18	Pos003CFP.tif:0018-0198-0474:18	329	473.777	198.916	0
19	Pos003CFP.tif:0019-0209-0478:19	324	477.377	208.941	0
20	Pos003CFP.tif:0020-0212-0479:20	343	478.829	212.162	0
21	Pos003CFP.tif:0021-0205-0465:21	335	464.461	205.404	0
22	Pos003CFP.tif:0022-0195-0455:22	375	454.452	195.999	0
23	Pos003CFP.tif:0023-0195-0454:23	362	453.362	195.925	0
24	Pos003CFP.tif:0024-0218-0475:24	297	475.089	218.567	0
25	Pos003CFP.tif:0025-0217-0478:25	348	477.724	218.092	0
26	Pos003CFP.tif:0026-0215-0479:26	363	478.467	215.574	0
27	Pos003CFP.tif:0027-0214-0478:27	336	477.631	214.911	0
28	Pos003CFP.tif:0028-0205-0469:28	349	468.683	206.064	0
29	Pos003CFP.tif:0029-0194-0463:29	349	462.426	194.681	0
30	Pos003CFP.tif:0030-0213-0482:30	325	482.365	212.632	0
31	Pos003CFP.tif:0031-0216-0486:31	318	486.569	216.506	0
32	Pos003CFP.tif:0032-0213-0490:32	302	489.507	214.659	0
33	Pos003CFP.tif:0033-0195-0496:33	270	495.144	195.885	0
34	Pos003CFP.tif:0034-0186-0499:34	286	499.839	187.066	0
35	Pos003CFP.tif:0035-0176-0497:35	288	498.587	175.434	0
36	Pos003CFP.tif:0036-0171-0496:36	297	496.911	169.715	0
37	Pos003CFP.tif:0037-0166-0490:37	311	491.603	165.966	0
38	Pos003CFP.tif:0038-0162-0485:38	326	485.497	161.442	0
39	Pos003CFP.tif:0039-0134-0450:39	300	450.900	134.523	0
40	Pos003CFP.tif:0040-0127-0439:40	306	439.229	126.703	0
41	Pos003CFP.tif:0041-0134-0433:41	270	434.081	135.870	0
42	Pos003CFP.tif:0042-0139-0432:42	280	432.436	138.807	0
43	Pos003CFP.tif:0043-0140-0435:43	269	435.463	139.723	0
44	Pos003CFP.tif:0044-0148-0445:44	274	445.398	148.416	0
45	Pos003CFP.tif:0045-0145-0449:45	296	448.189	145.527	0
46	Pos003CFP.tif:0046-0148-0454:46	309	453.807	147.458	0
47	Pos003CFP.tif:0047-0152-0459:47	326	458.472	151.706	0
48	Pos003CFP.tif:0048-0158-0462:48	334	461.940	157.817	0
49	Pos003CFP.tif:0049-0168-0472:49	299	471.363	167.162	0
50	Pos003CFP.tif:0050-0175-0478:50	325	477.503	174.906	0
51	Pos003CFP.tif:0051-0189-0480:51	314	480.029	188.889	0
52	Pos003CFP.tif:0052-0204-0481:52	295	480.941	204.510	0
53	Pos003CFP.tif:0053-0204-0478:53	323	477.751	204.305	0
54	Pos003CFP.tif:0054-0199-0476:54	348	475.897	199.345	0
55	Pos003CFP.tif:0055-0193-0476:55	362	475.688	194.077	0
56	Pos003CFP.tif:0056-0188-0471:56	378	471.452	188.122	0
57	Pos003CFP.tif:0057-0185-0468:57	378	468.153	185.466	0
58	Pos003CFP.tif:0058-0182-0464:58	379	464.529	182.083	0
59	Pos003CFP.tif:0059-0179-0463:59	367	462.702	179.165	0
60	Pos003CFP.tif:0060-0178-0462:60	346	461.572	178.162	0
61	Pos003CFP.tif:0061-0173-0462:61	326	461.825	173.160	0
62	Pos003CFP.tif:0062-0177-0465:62	295	465.331	176.897	0
63	Pos003CFP.tif:0063-0183-0470:63	304	470.523	182.641	0
64	Pos003CFP.tif:0064-0185-0472:64	301	471.905	185.354	0
65	Pos003CFP.tif:0065-0185-0473:65	315	472.678	185.068	0
66	Pos003CFP.tif:0066-0184-0471:66	328	471.180	184.537	0
67	Pos003CFP.tif:0067-0183-0471:67	324	471.290	183.741	0
68	Pos003CFP.tif:0068-0179-0468:68	318	468.849	179.085	0
69	Pos003CFP.tif:0069-0177-0468:69	309	467.811	177.092	0
70	Pos003CFP.tif:0070-0175-0470:70	326	470.423	175.282	0
71	Pos003CFP.tif:0071-0178-0472:71	322	472.727	177.963	0
72	Pos003CFP.tif:0072-0182-0473:72	329	473.448	181.853	0
73	Pos003CFP.tif:0073-0186-0475:73	327	475.950	185.518	0
