 	Label	Area	X	Y	Division
1	Pos001CFP-2.tif:0001-0651-0302:1	473	302.196	651.117	0
2	Pos001CFP-2.tif:0002-0688-0324:2	436	324.420	688.135	0
3	Pos001CFP-2.tif:0003-0692-0335:3	472	334.661	691.919	1
4	Pos001CFP-2.tif:0004-0680-0328:4	317	328.197	679.162	0
5	Pos001CFP-2.tif:0005-0672-0317:5	190	317.247	672.684	0
6	Pos001CFP-2.tif:0006-0666-0317:6	287	317.967	666.120	0
7	Pos001CFP-2.tif:0007-0659-0318:7	199	319.108	658.771	0
8	Pos001CFP-2.tif:0008-0653-0320:8	296	320.608	652.794	0
9	Pos001CFP-2.tif:0009-0644-0318:9	309	319.235	644.840	0
10	Pos001CFP-2.tif:0010-0638-0322:10	419	322.118	638.089	0
11	Pos001CFP-2.tif:0011-0630-0327:11	439	326.965	629.956	0
12	Pos001CFP-2.tif:0012-0606-0329:12	425	329.446	606.074	0
13	Pos001CFP-2.tif:0013-0570-0343:13	409	344.182	571.287	0
14	Pos001CFP-2.tif:0014-0554-0348:14	431	349.133	554.349	0
15	Pos001CFP-2.tif:0015-0543-0347:15	443	347.324	542.584	0
16	Pos001CFP-2.tif:0016-0531-0348:16	440	348.570	531.314	0
17	Pos001CFP-2.tif:0017-0527-0351:17	423	351.176	526.973	0
18	Pos001CFP-2.tif:0018-0528-0353:18	443	353.590	527.272	0
19	Pos001CFP-2.tif:0019-0526-0349:19	452	349.303	526.137	0
20	Pos001CFP-2.tif:0020-0522-0335:20	429	335.237	521.579	0
21	Pos001CFP-2.tif:0021-0516-0326:21	423	325.717	516.363	0
22	Pos001CFP-2.tif:0022-0505-0309:22	397	309.112	505.767	0
23	Pos001CFP-2.tif:0023-0491-0297:23	369	296.367	491.749	0
24	Pos001CFP-2.tif:0024-0478-0286:24	387	285.859	478.699	0
25	Pos001CFP-2.tif:0025-0457-0280:25	353	279.429	457.426	0
26	Pos001CFP-2.tif:0026-0398-0257:26	354	256.879	398.407	0
27	Pos001CFP-2.tif:0027-0393-0254:27	287	253.831	393.326	0
28	Pos001CFP-2.tif:0028-0422-0263:28	148	263.905	423.486	0
29	Pos001CFP-2.tif:0029-0443-0269:29	175	269.134	443.466	0
30	Pos001CFP-2.tif:0030-0445-0257:30	142	256.366	445.183	0
31	Pos001CFP-2.tif:0031-0449-0246:31	172	245.291	448.814	0
32	Pos001CFP-2.tif:0032-0433-0235:32	242	235.264	434.649	0
33	Pos001CFP-2.tif:0033-0420-0213:33	266	212.451	420.959	0
34	Pos001CFP-2.tif:0034-0400-0196:34	153	194.846	401.225	0
35	Pos001CFP-2.tif:0035-0397-0185:35	142	183.620	397.535	0
36	Pos001CFP-2.tif:0036-0398-0143:36	235	143.440	397.947	0
37	Pos001CFP-2.tif:0037-0382-0126:37	209	126.648	382.055	0
38	Pos001CFP-2.tif:0038-0383-0105:38	238	104.315	383.370	0
39	Pos001CFP-2.tif:0039-0381-0090:39	222	90.086	380.914	0
40	Pos001CFP-2.tif:0040-0371-0068:40	228	68.136	370.610	0
41	Pos001CFP-2.tif:0041-0364-0059:41	230	59.204	363.335	0
42	Pos001CFP-2.tif:0042-0358-0053:42	235	53.032	358.087	0
43	Pos001CFP-2.tif:0043-0354-0052:43	254	52.280	353.110	0
44	Pos001CFP-2.tif:0044-0346-0051:44	245	50.594	345.757	0
45	Pos001CFP-2.tif:0045-0342-0042:45	191	41.526	341.568	0
46	Pos001CFP-2.tif:0046-0341-0050:46	235	48.751	340.449	0
47	Pos001CFP-2.tif:0047-0337-0059:47	259	58.732	336.620	0
48	Pos001CFP-2.tif:0048-0336-0065:48	260	64.265	335.750	0
49	Pos001CFP-2.tif:0049-0333-0070:49	244	70.061	333.037	0
50	Pos001CFP-2.tif:0050-0326-0070:50	251	70.114	325.627	0
51	Pos001CFP-2.tif:0051-0321-0071:51	280	70.161	320.696	0
52	Pos001CFP-2.tif:0052-0310-0078:52	277	77.915	309.554	0
53	Pos001CFP-2.tif:0053-0298-0087:53	266	86.267	298.233	0
54	Pos001CFP-2.tif:0054-0281-0105:54	213	104.603	281.514	0
55	Pos001CFP-2.tif:0055-0282-0121:55	228	120.281	282.737	0
56	Pos001CFP-2.tif:0056-0284-0129:56	219	129.596	284.674	0
57	Pos001CFP-2.tif:0057-0289-0145:57	233	144.818	289.024	0
58	Pos001CFP-2.tif:0058-0291-0145:58	281	144.664	291.589	0
59	Pos001CFP-2.tif:0059-0303-0137:59	273	137.456	302.870	0
60	Pos001CFP-2.tif:0060-0323-0121:60	224	121.353	322.527	0
61	Pos001CFP-2.tif:0061-0322-0115:61	241	115.376	321.890	0
62	Pos001CFP-2.tif:0062-0318-0108:62	258	108.446	318.132	0
63	Pos001CFP-2.tif:0063-0314-0103:63	268	103.586	314.119	0
64	Pos001CFP-2.tif:0064-0313-0101:64	276	101.565	313.181	0
65	Pos001CFP-2.tif:0065-0311-0096:65	258	96.570	311.120	0
66	Pos001CFP-2.tif:0066-0309-0079:66	227	80.165	310.126	0
67	Pos001CFP-2.tif:0067-0303-0057:67	245	57.129	303.198	0
68	Pos001CFP-2.tif:0068-0303-0049:68	254	48.917	302.917	0
69	Pos001CFP-2.tif:0069-0311-0029:69	241	29.122	310.571	0
70	Pos001CFP-2.tif:0070-0312-0022:70	247	21.929	311.715	0
71	Pos001CFP-2.tif:0071-0316-0013:71	249	12.367	316.536	0
72	Pos001CFP-2.tif:0072-0318-0006:72	139	5.414	319.543	0
